industry,avg_wage,monthly_rent_allowance,year
Clothing and clothing accessories stores,25507.0,708.5277777777778,2015
Clothing and clothing accessories stores,25475.0,707.6388888888888,2016
Clothing and clothing accessories stores,26464.0,735.1111111111112,2017
Clothing and clothing accessories stores,27310.499999999996,758.6249999999999,2018
Clothing and clothing accessories stores,28156.999999999993,782.1388888888887,2019
"Sporting goods, hobby, book and music stores",21493.0,597.0277777777777,2011
"Sporting goods, hobby, book and music stores",21850.0,606.9444444444445,2012
"Sporting goods, hobby, book and music stores",22325.0,620.1388888888889,2013
"Sporting goods, hobby, book and music stores",23613.0,655.9166666666666,2014
"Sporting goods, hobby, book and music stores",25846.0,717.9444444444445,2015
"Sporting goods, hobby, book and music stores",27124.0,753.4444444444445,2016
"Sporting goods, hobby, book and music stores",29393.0,816.4722222222222,2017
"Sporting goods, hobby, book and music stores",30709.666666666668,853.0462962962964,2018
"Sporting goods, hobby, book and music stores",32026.33333333334,889.6203703703706,2019
General merchandise stores,32298.0,897.1666666666666,2011
General merchandise stores,31921.0,886.6944444444445,2012
General merchandise stores,31826.0,884.0555555555555,2013
General merchandise stores,31855.0,884.8611111111112,2014
General merchandise stores,33501.0,930.5833333333334,2015
General merchandise stores,34293.0,952.5833333333334,2016
General merchandise stores,37283.0,1035.638888888889,2017
General merchandise stores,39302.20339735154,1091.727872148654,2018
General merchandise stores,43106.18945349001,1197.3941514858336,2019
Miscellaneous store retailers,25980.0,721.6666666666666,2011
Miscellaneous store retailers,26953.0,748.6944444444445,2012
Miscellaneous store retailers,27287.0,757.9722222222222,2013
Miscellaneous store retailers,28198.0,783.2777777777778,2014
Miscellaneous store retailers,28885.0,802.3611111111112,2015
Miscellaneous store retailers,30405.0,844.5833333333334,2016
Miscellaneous store retailers,32610.0,905.8333333333334,2017
Miscellaneous store retailers,33715.0,936.5277777777778,2018
Miscellaneous store retailers,34820.00000000001,967.2222222222225,2019
Nonstore retailers,96346.0,2676.277777777778,2011
Nonstore retailers,102727.0,2853.527777777778,2012
Nonstore retailers,107678.0,2991.055555555555,2013
Nonstore retailers,113622.0,3156.1666666666665,2014
Nonstore retailers,120589.0,3349.694444444445,2015
Nonstore retailers,183637.0,5101.027777777778,2016
Nonstore retailers,120766.50000000004,3354.6250000000014,2017
Nonstore retailers,120766.50000000004,3354.6250000000014,2018
Nonstore retailers,120766.50000000004,3354.6250000000014,2019
Air transportation,73360.0,2037.7777777777776,2011
Air transportation,74732.0,2075.888888888889,2012
Air transportation,79201.0,2200.027777777778,2013
Air transportation,81199.0,2255.527777777778,2014
Air transportation,85098.0,2363.8333333333335,2015
Air transportation,89819.0,2494.972222222222,2016
Air transportation,90480.0,2513.3333333333335,2017
Air transportation,95971.84789263055,2665.884663684182,2018
Air transportation,97597.00192097791,2711.0278311382754,2019
Water transportation,74701.0,2075.027777777778,2011
Water transportation,70263.0,1951.75,2012
Water transportation,71872.0,1996.4444444444443,2013
Water transportation,72828.0,2023.0,2014
Water transportation,78918.0,2192.1666666666665,2015
Water transportation,81652.0,2268.111111111111,2016
Water transportation,88142.0,2448.388888888889,2017
Water transportation,90382.16666666666,2510.6157407407404,2018
Water transportation,92622.33333333333,2572.8425925925926,2019
Truck transportation,43402.0,1205.611111111111,2011
Truck transportation,44971.0,1249.1944444444446,2012
Truck transportation,45488.0,1263.5555555555554,2013
Truck transportation,46783.0,1299.5277777777778,2014
Truck transportation,48082.0,1335.611111111111,2015
Truck transportation,48764.0,1354.5555555555554,2016
Truck transportation,51431.0,1428.638888888889,2017
Truck transportation,51755.529823525205,1437.6536062090336,2018
Truck transportation,52979.351256893664,1471.648646024824,2019
Transit and ground passenger transportation,29306.0,814.0555555555555,2011
Transit and ground passenger transportation,30756.0,854.3333333333334,2012
Transit and ground passenger transportation,31861.0,885.0277777777778,2013
Transit and ground passenger transportation,32740.0,909.4444444444445,2014
Transit and ground passenger transportation,34119.0,947.75,2015
Transit and ground passenger transportation,38094.0,1058.1666666666667,2016
Transit and ground passenger transportation,41216.0,1144.888888888889,2017
Transit and ground passenger transportation,43201.00000000001,1200.027777777778,2018
Transit and ground passenger transportation,45186.00000000001,1255.1666666666667,2019
Scenic and sightseeing transportation,37060.0,1029.4444444444446,2011
Scenic and sightseeing transportation,41925.0,1164.5833333333333,2012
Scenic and sightseeing transportation,40224.0,1117.3333333333333,2013
Scenic and sightseeing transportation,41113.0,1142.0277777777778,2014
Scenic and sightseeing transportation,46044.0,1279.0,2015
Scenic and sightseeing transportation,47080.0,1307.7777777777778,2016
Scenic and sightseeing transportation,48230.0,1339.7222222222222,2017
Scenic and sightseeing transportation,50218.85717381334,1394.9682548281482,2018
Scenic and sightseeing transportation,51991.714324437795,1444.2142867899386,2019
Support activities for transportation,63312.0,1758.6666666666667,2011
Support activities for transportation,62412.0,1733.6666666666667,2012
Support activities for transportation,59904.0,1664.0,2013
Support activities for transportation,59679.0,1657.75,2014
Support activities for transportation,62864.0,1746.2222222222224,2015
Support activities for transportation,65346.0,1815.1666666666667,2016
Support activities for transportation,65814.0,1828.1666666666667,2017
Support activities for transportation,64478.072094213516,1791.0575581725977,2018
Support activities for transportation,62973.50167035455,1749.2639352876265,2019
Couriers and messengers,40543.0,1126.1944444444446,2011
Couriers and messengers,40964.0,1137.888888888889,2012
Couriers and messengers,42851.0,1190.3055555555554,2013
Couriers and messengers,42902.0,1191.7222222222222,2014
Couriers and messengers,42926.0,1192.388888888889,2015
Couriers and messengers,42104.0,1169.5555555555554,2016
Couriers and messengers,45472.0,1263.111111111111,2017
Couriers and messengers,42537.42857142857,1181.595238095238,2018
Couriers and messengers,42537.42857142857,1181.595238095238,2019
Warehousing and storage,52235.0,1450.9722222222224,2011
Warehousing and storage,56400.0,1566.6666666666667,2012
Warehousing and storage,60405.0,1677.9166666666667,2013
Warehousing and storage,56272.0,1563.111111111111,2014
Warehousing and storage,56554.0,1570.9444444444443,2015
Warehousing and storage,54235.0,1506.5277777777776,2016
Warehousing and storage,56140.0,1559.4444444444443,2017
Warehousing and storage,56034.428571428565,1556.5119047619046,2018
Warehousing and storage,56034.428571428565,1556.5119047619046,2019
"Publishing industries, except Internet",164300.0,4563.888888888889,2011
"Publishing industries, except Internet",180193.0,5005.361111111111,2012
"Publishing industries, except Internet",185398.0,5149.944444444444,2013
"Publishing industries, except Internet",206152.0,5726.444444444444,2014
"Publishing industries, except Internet",202617.0,5628.25,2015
"Publishing industries, except Internet",207948.0,5776.333333333333,2016
"Publishing industries, except Internet",223788.0,6216.333333333333,2017
"Publishing industries, except Internet",231471.63631512402,6429.767675420112,2018
"Publishing industries, except Internet",240442.8146756557,6678.967074323769,2019
Motion picture and sound recording industries,33919.0,942.1944444444445,2011
Motion picture and sound recording industries,32679.0,907.75,2012
Motion picture and sound recording industries,31933.0,887.0277777777778,2013
Motion picture and sound recording industries,29407.0,816.8611111111112,2014
Motion picture and sound recording industries,32151.0,893.0833333333334,2015
Motion picture and sound recording industries,30975.0,860.4166666666666,2016
Motion picture and sound recording industries,31589.0,877.4722222222222,2017
Motion picture and sound recording industries,31807.57142857143,883.543650793651,2018
Motion picture and sound recording industries,31807.57142857143,883.543650793651,2019
"Broadcasting, except Internet",76322.0,2120.0555555555557,2011
"Broadcasting, except Internet",79578.0,2210.5,2012
"Broadcasting, except Internet",80934.0,2248.1666666666665,2013
"Broadcasting, except Internet",80759.0,2243.3055555555557,2014
"Broadcasting, except Internet",83021.0,2306.138888888889,2015
"Broadcasting, except Internet",85212.0,2367.0,2016
"Broadcasting, except Internet",86930.0,2414.722222222222,2017
"Broadcasting, except Internet",88231.91077676293,2450.8864104656373,2018
"Broadcasting, except Internet",89845.44649920562,2495.706847200156,2019
Telecommunications,97607.0,2711.3055555555557,2011
