"Seattle-Bellevue-Everett, WA MD",,,,,,,
2012 Occupational Employment,,,,,,,
and Wage Estimates,,,,,,,
Includes King and Snohomish Counties,,,,,,,
,,,,,,,
,,,,,,,
SOC,,Estimated,Average,,Percentiles,,Annual
33-9011,Animal Control Wkrs,101,$23.19,$17.58,$23.05,$28.26,"$48,230"
39-2011,Animal Trainers,,$19.26,$18.84,$20.28,$21.75,"$40,052"
19-3091,Anthropologists & Archeologists,98,$28.32,$21.84,$26.09,$34.75,"$58,914"
25-1061,"Anthropology & Archeology Teachers, Postsecondary",73,,,,,"$70,245"
13-2021,Appraisers & Assessors of Real Estate,442,$33.57,$24.24,$33.04,$43.24,"$69,824"
23-1022,"Arbitrators, Mediators, & Conciliators",,$37.61,$27.72,$32.36,$43.93,"$78,226"
17-1011,"Architects, Not Landscape & Naval","2,276",$33.89,$23.34,$31.17,$38.47,"$70,491"
17-3011,Architectural & Civil Drafters,"1,042",$27.86,$22.49,$27.19,$33.07,"$57,952"
25-4011,Archivists,72,$27.14,$20.81,$26.55,$33.28,"$56,457"
25-1062,"Area, Ethnic, & Cultural Studies Teachers, Postsec",96,,,,,"$72,925"
27-1011,Art Directors,569,$45.84,$31.84,$43.73,$57.77,"$95,350"
25-1121,"Art, Drama, & Music Teachers, Postsecondary",574,,,,,"$60,142"
27-1019,"Artists & Related Wkrs, All Other",90,$19.96,$16.27,$17.47,$20.16,"$41,500"
51-2099,"Assemblers & Fabricators, All Other","3,198",$15.26,$11.89,$14.60,$18.01,"$31,743"
27-2021,Athletes & Sports Competitors,,,,,,"$116,866"
29-9091,Athletic Trainers,226,,,,,"$45,114"
19-2021,Atmospheric & Space Scientists,164,$44.94,$31.93,$41.73,$56.14,"$93,473"
25-1051,"Atmospheric/Earth/Marine/Space Sci Teachers, Postsec",183,,,,,"$95,653"
27-4011,Audio & Video Equipment Technicians,597,$21.84,$15.61,$21.19,$27.23,"$45,427"
29-1181,Audiologists,,$47.49,$34.13,$41.37,$64.29,"$98,779"
25-9011,Audio-Visual Collections Specialists,57,$20.99,$17.31,$20.22,$22.98,"$43,656"
49-3021,Automotive Body & Related Repairers,741,$23.06,$17.58,$22.29,$27.94,"$47,959"
49-3022,Automotive Glass Installers & Repairers,,$18.61,$16.23,$17.53,$18.84,"$38,708"
49-3023,Automotive Svc Technicians & Mechanics,"4,420",$19.44,$13.67,$18.71,$23.13,"$40,432"
49-2091,Avionics Technicians,"1,151",$29.99,$25.20,$29.41,$35.34,"$62,371"
39-6011,Baggage Porters & Bellhops,786,$11.39,$9.04,$9.33,$11.78,"$23,680"
51-3011,Bakers,"1,543",$14.21,$10.93,$13.86,$17.18,"$29,566"
35-3011,Bartenders,"6,530",$14.02,$9.76,$13.21,$16.31,"$29,156"
49-3091,Bicycle Repairers,,$14.48,$11.46,$13.62,$16.97,"$30,121"
43-3011,Bill & Account Collectors,"2,635",$17.75,$13.29,$17.18,$21.41,"$36,936"
43-3021,Billing & Posting Clerks & Machine Operators,"5,059",$19.87,$16.81,$19.53,$22.57,"$41,338"
19-1021,Biochemists & Biophysicists,126,$36.35,$20.71,$27.37,$43.43,"$75,593"
25-1042,"Biological Science Teachers, Postsecondary",528,,,,,"$93,212"
19-1029,"Biological Scientists, All Other",768,$32.21,$22.14,$29.83,$40.42,"$67,009"
19-4021,Biological Technicians,,$20.66,$16.71,$19.73,$23.56,"$42,968"
17-2031,Biomedical Engineers,227,$40.52,$25.42,$34.33,$48.41,"$84,283"
47-2011,Boilermakers,148,$22.85,$20.19,$22.47,$25.91,"$47,524"
43-3031,"Bookkeeping, Accounting, & Auditing Clerks","16,741",$19.87,$16.07,$19.46,$23.14,"$41,335"
47-3011,Brick/Block/Stonemason & Tile/Marble Setter Helpers,97,$25.17,$17.10,$27.71,$33.44,"$52,370"
47-2021,Brickmasons & Blockmasons,320,$32.97,$30.89,$33.29,$35.71,"$68,583"
27-4012,Broadcast Technicians,341,$19.66,$13.56,$18.02,$24.12,"$40,889"
43-4011,Brokerage Clerks,463,$21.88,$17.52,$21.87,$26.32,"$45,515"
37-2019,"Building Cleaning Wkrs, All Other",,$12.70,$10.19,$11.34,$14.72,"$26,416"
49-3031,Bus & Truck Mechanics & Diesel Engine Specialists,"3,345",$25.40,$21.03,$26.06,$29.99,"$52,838"
53-3022,"Bus Drivers, School","4,061",$18.92,$16.91,$19.49,$21.53,"$39,370"
13-1199,"Business Operations Specialists, All Other","15,290",$35.44,$26.16,$33.77,$43.53,"$73,714"
25-1011,"Business Teachers, Postsecondary",736,,,,,"$79,981"
51-3021,Butchers & Meat Cutters,"1,013",$19.04,$17.94,$20.37,$22.05,"$39,594"
51-7011,Cabinetmakers & Bench Carpenters,"1,003",$16.80,$13.64,$15.88,$18.89,"$34,956"
49-9061,Camera & Photographic Equipment Repairers,,$20.47,$16.41,$19.42,$25.01,"$42,584"
27-4031,"Camera Ops, Television, Video, & Motion Picture",358,$24.68,$17.96,$22.31,$32.76,"$51,330"
53-5021,"Captains, Mates, & Pilots of Water Vessels",,$37.24,$27.03,$37.62,$46.95,"$77,454"
29-2031,Cardiovascular Technologists & Technicians,567,$31.42,$23.96,$32.08,$38.78,"$65,358"
43-5011,Cargo & Freight Agents,"1,372",$23.92,$17.05,$22.14,$28.83,"$49,746"
47-2031,Carpenters,"8,511",$25.80,$20.20,$25.77,$31.51,"$53,652"
47-2041,Carpet Installers,239,$18.85,$14.80,$17.40,$21.56,"$39,201"
17-1021,Cartographers & Photogrammetrists,144,$36.98,$31.35,$38.22,$43.38,"$76,902"
41-2011,Cashiers,"25,069",$13.11,$9.66,$11.38,$15.07,"$27,277"
47-2051,Cement Masons & Concrete Finishers,723,$26.18,$20.84,$26.91,$32.05,"$54,446"
35-1011,Chefs & Head Cooks,"1,260",$21.95,$16.69,$19.45,$26.62,"$45,654"
17-2041,Chemical Engineers,103,$40.01,$27.52,$36.14,$51.19,"$83,230"
51-9011,Chemical Equipment Operators & Tenders,,$18.92,$15.85,$17.41,$19.73,"$39,371"
19-4031,Chemical Technicians,,$19.92,$15.78,$19.04,$23.09,"$41,426"
25-1052,"Chemistry Teachers, Postsecondary",193,,,,,"$82,381"
19-2031,Chemists,640,$35.95,$26.74,$35.41,$44.74,"$74,773"
11-1011,Chief Executives,"1,967",$101.78,$73.04,,,"$211,712"
39-9011,Child Care Wkrs,"5,740",$11.81,$9.68,$11.00,$13.32,"$24,574"
21-1021,"Child, Family, & School Social Wkrs","1,165",$20.52,$15.64,$19.15,$24.68,"$42,697"
29-1011,Chiropractors,394,,,,,
17-3022,Civil Engineering Technicians,728,$28.64,$24.28,$28.59,$33.61,"$59,561"
17-2051,Civil Engineers,"6,151",$41.10,$32.80,$39.77,$47.53,"$85,482"
13-1031,"Claims Adjusters, Examiners, & Investigators","3,676",$31.39,$24.64,$29.77,$35.83,"$65,287"
53-7061,Cleaners of Vehicles & Equipment,"2,465",$13.40,$10.66,$12.28,$14.68,"$27,872"
51-9192,Cleaning/Washing/Metal Pickling Equipment Ops & Tenders,132,$20.18,$12.95,$17.43,$29.61,"$41,988"
21-2011,Clergy,170,$26.46,$21.95,$26.49,$30.26,"$55,046"
19-3031,"Clinical, Counseling, & School Psychologists",777,$38.62,$27.98,$35.21,$44.47,"$80,326"
27-2022,Coaches & Scouts,"3,308",,,,,"$43,308"
51-9121,Coating/Painting/Spraying Machine Setters/Ops/Tenders,503,$16.57,$13.24,$16.29,$19.25,"$34,471"
49-9091,"Coin, Vending, & Amusement Machine Svcrs & Repairers",311,$18.11,$13.71,$17.85,$22.56,"$37,667"
35-3021,"Comb Food Preparation & Serving Wkrs, Inc Fast Food","26,814",$10.60,$9.15,$9.57,$11.30,"$22,057"
27-1021,Commercial & Industrial Designers,301,$26.09,$16.59,$26.57,$33.10,"$54,247"
53-2012,Commercial Pilots,464,,,,,"$78,333"
25-1122,"Communications Teachers, Postsecondary",220,,,,,"$61,354"
21-1798,"Community & Social Service Specialists, All Other","1,216",$22.55,$14.67,$21.41,$30.31,"$46,895"
11-3111,Compensation & Benefits Managers,271,$58.58,$41.45,$51.22,$69.25,"$121,841"
13-1141,"Compensation, Benefits, & Job Analysis Specialists","1,098",$34.19,$25.48,$32.17,$41.65,"$71,116"
13-1041,Compliance Ofcrs (Not Ag/Const/Safety/Transportn),"2,838",$31.95,$24.25,$30.59,$38.33,"$66,448"
15-1111,"Computer & Information Scientists, Research",,$55.23,$45.39,$54.96,$66.73,"$114,876"
11-3021,Computer & Information Systems Mgrs,"7,281",$66.83,$51.21,$63.38,$77.98,"$138,999"
17-2061,Computer Hardware Engineers,961,$53.64,$42.29,$51.89,$63.30,"$111,576"
15-1799,"Computer Occupations, All Other","4,334",$41.91,$28.17,$44.51,$56.73,"$87,180"
43-9011,Computer Operators,766,$22.39,$17.59,$22.04,$26.76,"$46,558"
15-1131,Computer Programmers,"9,098",$46.30,$38.89,$45.96,$54.50,"$96,299"
25-1021,"Computer Science Teachers, Postsecondary",216,,,,,"$79,406"
15-1132,"Computer Software Engineers, Applications","29,705",$48.34,$39.87,$48.19,$56.72,"$100,559"
15-1133,"Computer Software Engineers, Systems Software","13,487",$50.27,$41.02,$47.03,$57.04,"$104,548"
15-1150,Computer Support Specialists,"10,428",$28.51,$20.57,$26.14,$33.59,"$59,291"
15-1121,Computer Systems Analysts,"9,935",$43.88,$36.20,$42.84,$51.01,"$91,286"
49-2011,"Computer, Automated Teller, & Office Machine Repairers",738,$20.76,$16.28,$18.91,$23.47,"$43,168"
51-4011,"Computer-Controlled Machine Tool Ops, Mtl/Plastic","1,458",$23.45,$17.06,$21.84,$29.37,"$48,770"
39-6012,Concierges,,$14.82,$12.31,$14.08,$16.70,"$30,827"
19-1031,Conservation Scientists,96,$37.66,$28.26,$35.76,$45.83,"$78,333"
47-4011,Construction & Building Inspectors,"1,139",$32.09,$27.01,$32.40,$37.48,"$66,751"
47-4799,"Construction & Related Workers, All Other",,$19.38,$12.45,$14.66,$27.08,"$40,319"
47-2061,Construction Laborers,"4,774",$20.07,$14.88,$17.76,$24.48,"$41,753"
11-9021,Construction Mgrs,"2,466",$52.96,$37.66,$47.80,$59.52,"$110,151"
47-1011,"Construction Trades/Extraction Wkrs, 1st-Ln Spvs/Mgrs","5,121",$37.54,$29.63,$36.24,$44.02,"$78,080"
49-9012,Control & Valve Installers & Repairers (Not Mech Door),,$28.22,$17.92,$26.01,$34.96,"$58,689"
53-7011,Conveyor Operators & Tenders,272,$15.23,$13.36,$15.59,$17.33,"$31,680"
35-2019,"Cooks, All Other",817,$12.56,$10.29,$11.26,$13.85,"$26,133"
35-2011,"Cooks, Fast Food","1,305",$10.13,$9.07,$9.38,$10.94,"$21,068"
35-2012,"Cooks, Institution & Cafeteria","2,393",$15.21,$12.11,$15.31,$17.74,"$31,637"
35-2014,"Cooks, Restaurant","12,918",$13.08,$11.29,$13.07,$14.61,"$27,200"
35-2015,"Cooks, Short Order",979,$12.77,$10.29,$11.77,$14.17,"$26,562"
51-9193,Cooling & Freezing Equipment Operators & Tenders,,$27.31,$20.47,$30.55,$34.24,"$56,809"
33-3012,Correctional Officers & Jailers,,$24.80,$22.13,$23.67,$27.81,"$51,571"
43-4021,Correspondence Clerks,,$18.38,$16.72,$18.59,$20.67,"$38,245"
13-1051,Cost Estimators,"2,478",$33.83,$25.91,$32.90,$40.66,"$70,360"
39-3092,Costume Attendants,42,$16.37,$12.97,$15.58,$20.39,"$34,041"
21-1019,"Counselors, All Other",52,$25.96,$22.35,$25.79,$27.34,"$54,003"
41-2021,Counter & Rental Clerks,"6,814",$13.84,$10.40,$13.00,$16.27,"$28,785"
35-3022,"Counter Attendants, Cafeteria, Concession, Coffee Shop","8,766",$10.61,$9.12,$9.43,$10.95,"$22,079"
43-5021,Couriers & Messengers,646,$14.98,$12.52,$14.29,$17.27,"$31,139"
23-2091,Court Reporters,,$23.93,$16.75,$20.19,$32.22,"$49,761"
43-4031,"Court, Municipal, & License Clerks",,$21.50,$18.56,$21.35,$24.91,"$44,713"
27-1012,Craft Artists,,$18.10,$12.85,$16.65,$20.91,"$37,664"
53-7021,Crane & Tower Operators,"1,602",$44.26,$38.57,$46.80,$52.12,"$92,066"
13-2041,Credit Analysts,755,$33.75,$25.15,$31.11,$39.05,"$70,190"
43-4041,"Credit Authorizers, Checkers, & Clerks",373,$22.13,$17.38,$20.71,$25.99,"$46,041"
33-9091,Crossing Guards,923,$15.65,$9.48,$11.45,$23.79,"$32,560"
51-9021,Crush/Grind/Polishing Machine Setters/Ops/Tenders,269,$16.99,$13.83,$16.51,$19.68,"$35,333"
25-4012,Curators,98,$29.09,$22.50,$26.95,$33.60,"$60,511"
43-4051,Customer Svc Reps,"17,467",$18.36,$14.35,$17.31,$21.34,"$38,202"
51-4031,"Cut/Punch/Press Mach Setters/Ops/Tenders, Mtl/Plastic","1,309",$20.52,$16.07,$19.41,$22.86,"$42,678"
51-9031,"Cutters & Trimmers, Hand",83,$14.39,$11.48,$15.36,$17.11,"$29,929"
51-9032,"Cutting & Slicing Machine Setters, Ops, & Tenders",394,$20.29,$13.09,$20.86,$26.87,"$42,206"
43-9021,Data Entry Keyers,"1,396",$15.78,$12.59,$15.02,$18.36,"$32,808"
15-1141,Database Administrators,"2,046",$42.57,$33.42,$42.08,$51.69,"$88,536"
41-9011,Demonstrators & Product Promoters,"1,019",$13.48,$9.91,$11.53,$14.56,"$28,034"
31-9091,Dental Assistants,"3,956",$19.79,$16.86,$19.91,$22.42,"$41,151"
29-2021,Dental Hygienists,"2,664",$45.78,$41.04,$45.45,$51.69,"$95,226"
51-9081,Dental Laboratory Technicians,474,$22.68,$18.03,$23.15,$27.52,"$47,174"
29-1029,"Dentists, All Other Specialists",25,$82.90,$64.61,$78.89,,"$172,432"
29-1021,"Dentists, General",697,$108.21,$81.86,,,"$225,075"
27-1029,"Designers, All Other",110,$24.54,$19.77,$23.72,$29.43,"$51,040"
43-9031,Desktop Publishers,,$19.27,$16.33,$18.91,$22.36,"$40,084"
29-2032,Diagnostic Medical Sonographers,536,$40.01,$36.08,$40.46,$44.39,"$83,222"
29-2051,Dietetic Technicians,127,$17.23,$14.41,$16.70,$18.86,"$35,842"
29-1031,Dietitians & Nutritionists,392,$29.61,$25.51,$29.15,$34.27,"$61,588"
35-9011,Dining Room & Cafeteria Attendants & Bartender Helpers,"4,277",$10.74,$9.10,$9.41,$11.56,"$22,333"
21-2021,"Directors, Religious Activities & Education",,$24.95,$19.48,$22.22,$31.16,"$51,904"
35-9021,Dishwashers,"3,765",$10.20,$9.21,$9.94,$11.04,"$21,214"
43-5032,"Dispatchers, Not Police, Fire, & Ambulance","1,505",$22.04,$16.23,$19.96,$27.60,"$45,850"
17-3019,"Drafters, All Other",372,$25.18,$19.74,$25.30,$29.89,"$52,374"
51-4032,Drilling/Boring Machine Tool Setters/Ops/Tenders,53,$16.12,$13.09,$14.62,$18.87,"$33,533"
53-3031,Driver/Sales Wkrs,"1,904",$15.98,$12.47,$14.51,$18.22,"$33,250"
47-2081,Drywall & Ceiling Tile Installers,"1,009",$25.98,$21.47,$25.22,$29.29,"$54,034"
25-1063,"Economics Teachers, Postsecondary",88,,,,,"$81,095"
19-3011,Economists,,$40.52,$33.33,$40.18,$45.99,"$84,275"
27-3041,Editors,"1,840",$33.89,$20.46,$29.54,$45.44,"$70,475"
11-9031,"Educ Administrators, Preschool/Child Care Center/Pgms",925,$30.06,$25.13,$31.95,$35.26,"$62,514"
11-9039,"Education Administrators, All Other",375,$32.09,$21.27,$28.31,$41.56,"$66,740"
11-9032,"Education Administrators, Elem & Secondary School","1,428",,,,,"$105,515"
11-9033,"Education Administrators, Postsecondary","1,019",$49.09,$33.65,$42.09,$55.59,"$102,102"
25-1081,"Education Teachers, Postsecondary",636,,,,,"$58,147"
25-9099,"Education, Training, & Library Wkrs, All Other","2,167",$23.42,$17.15,$21.22,$28.05,"$48,722"
21-1012,"Educational, Vocational, & School Counselors","1,972",$27.13,$22.05,$26.26,$31.76,"$56,421"
49-2092,"Electric Motor, Power Tool, & Related Repairers",149,$23.05,$17.78,$21.97,$29.83,"$47,948"
17-3023,Electrical & Electronic Engineering Technicians,,$27.92,$21.64,$28.46,$33.28,"$58,075"
51-2022,Electrical & Electronic Equipment Assemblers,"2,480",$17.20,$13.61,$16.73,$20.25,"$35,769"
17-3012,Electrical & Electronics Drafters,,$35.95,$30.18,$36.54,$42.56,"$74,771"
17-2071,Electrical Engineers,,$46.16,$37.18,$45.28,$55.59,"$96,010"
49-9051,Electrical Power-Line Installers & Repairers,547,$32.31,$28.81,$33.25,$36.84,"$67,200"
49-2094,"Electrical/Electronics Repairers, Industrial Equipmt",624,$35.39,$31.19,$36.76,$42.12,"$73,618"
49-2095,"Electrical/Electronics Repairers, Powerhouse/Relay",233,$35.22,$31.57,$35.24,$39.91,"$73,252"
47-2111,Electricians,"4,931",$32.05,$26.31,$32.93,$38.47,"$66,668"
51-2023,Electromechanical Equipment Assemblers,,$20.82,$16.46,$19.22,$24.72,"$43,309"
49-2096,"Electronic Equipment Installers/Repairers, Motor Veh",183,$24.86,$16.61,$24.17,$31.25,"$51,709"
49-2097,Electronic Home Entertainment Equipment Install/Repair,,$20.70,$18.13,$20.58,$22.84,"$43,053"
17-2072,"Electronics Engineers, Not Computer",,$47.80,$39.02,$46.27,$56.33,"$99,438"
49-2093,"Electronics Install/Repair, Transprtn Equipmt",,$27.71,$19.94,$25.97,$36.77,"$57,650"
25-2021,"Elementary School Teachers, Not Special Education","9,170",,,,,"$59,551"
47-4021,Elevator Installers & Repairers,147,$40.98,$35.81,$42.04,$48.34,"$85,240"
43-4061,"Eligibility Interviewers, Government Programs","1,747",$22.15,$19.46,$22.57,$24.58,"$46,088"
39-4011,Embalmers,,$30.67,$24.79,$30.06,$36.19,"$63,785"
11-9161,Emergency Management Directors,120,$33.15,$24.78,$33.33,$40.78,"$68,955"
29-2041,Emergency Medical Technicians & Paramedics,"1,718",$23.02,$13.21,$18.09,$33.00,"$47,877"
51-2031,Engine & Other Machine Assemblers,,$22.17,$15.64,$19.96,$23.38,"$46,122"
11-9041,Engineering Mgrs,"3,646",$64.97,$53.56,$63.83,$73.47,"$135,144"
25-1032,"Engineering Teachers, Postsecondary",408,,,,,"$107,349"
17-3029,"Engineering Technicians, Not Drafters, All Other",806,$31.22,$25.15,$32.05,$37.15,"$64,933"
17-2199,"Engineers, All Other","2,434",$43.82,$32.66,$43.00,$55.27,"$91,155"
25-1123,"English Language & Literature Teachers, Postsecondary",612,,,,,"$60,936"
27-2099,"Entertainers & Performers, Sports & Related Wkrs, A/O",128,$22.93,$16.80,$24.27,$28.47,
39-3099,"Entertainment Attendants & Related Wkrs, A/O",,$13.37,$9.57,$11.02,$17.74,"$27,802"
17-3025,Environmental Engineering Technicians,272,$28.17,$23.63,$30.64,$33.94,"$58,595"
17-2081,Environmental Engineers,879,$43.58,$34.77,$43.90,$52.81,"$90,647"
19-4091,Environmental Science & Protection Techs (Inc Health),413,$24.61,$18.65,$22.79,$29.31,"$51,186"
19-2041,Environmental Scientists & Specialists (Inc Health),"2,062",$38.33,$28.78,$35.93,$46.49,"$79,733"
19-1041,Epidemiologists,,$34.03,$28.07,$33.55,$38.93,"$70,767"
51-9194,Etchers & Engravers,,$19.36,$15.53,$19.32,$22.20,"$40,268"
53-7032,Excavating & Loading Machine & Dragline Operators,430,$26.01,$20.74,$26.53,$29.70,"$54,103"
43-6011,Executive Secretaries & Administrative Assistants,"8,141",$26.43,$21.64,$25.99,$30.45,"$54,972"
29-1128,Exercise Physiologists,144,$28.05,$20.43,$26.46,$34.58,"$58,355"
51-9041,Extrude/Form/Press/Compact Machine Setters/Ops/Tenders,190,$17.14,$11.55,$16.23,$22.16,"$35,650"
51-4021,"Extruding/Drawing Mach Setters/Ops/Tenders, Mtl/Plastic",390,$15.45,$9.53,$15.36,$18.25,"$32,148"
51-6091,"Extruding/Forming Machine Set/Op/Tend, Synthetic/Glass",,$15.45,$12.39,$14.47,$18.51,"$32,143"
51-6092,Fabric & Apparel Patternmakers,21,$18.32,$14.01,$17.79,$21.77,"$38,098"
29-1062,Family & General Practitioners,437,$66.55,$46.98,$56.68,$79.07,"$138,414"
25-9021,Farm & Home Management Advisors,,$19.94,$16.29,$17.93,$21.66,"$41,465"
49-3041,Farm Equipment Mechanics,,$20.53,$17.44,$20.22,$23.24,"$42,712"
45-1011,"Farming, Fishing, & Forestry Wkrs, 1st-Ln Sprvs/Mgrs",58,$32.77,$20.30,$31.01,$35.27,"$68,154"
45-2092,"FarmWkrs & Laborers, Crop, Nursery, & Greenhouse",179,$11.45,$9.78,$10.90,$12.57,"$23,806"
45-2093,"FarmWkrs, Farm & Ranch Animals",192,$11.57,$9.14,$9.99,$13.21,"$24,063"
27-1022,Fashion Designers,254,$31.91,$19.11,$28.66,$39.17,"$66,375"
51-2091,Fiberglass Laminators & Fabricators,527,$16.06,$12.04,$14.40,$19.68,"$33,405"
43-4071,File Clerks,,$15.72,$12.89,$15.43,$18.12,"$32,696"
27-4032,Film & Video Editors,338,$29.53,$24.01,$27.46,$32.33,"$61,432"
13-2051,Financial Analysts,"3,059",$43.61,$32.19,$40.85,$51.33,"$90,710"
13-2061,Financial Examiners,271,$39.16,$26.79,$35.99,$47.91,"$81,457"
11-3031,Financial Mgrs,"6,771",$61.26,$43.82,$54.95,$71.62,"$127,409"
13-2099,"Financial Specialists, All Other","1,636",$28.61,$21.46,$26.39,$33.86,"$59,513"
27-1013,"Fine Artists, Inc Painters, Sculptors, Illustrators",427,$31.26,$19.57,$22.37,$32.18,"$65,022"
33-2011,Fire Fighters,"3,821",$34.06,$31.13,$35.16,$40.33,"$70,847"
33-1021,"Fire Fighting & Prevention Wkrs, 1st-Ln spvrs/Mgrs of",943,$45.71,$40.68,$45.79,$52.37,"$95,057"
33-2021,Fire Inspectors & Investigators,85,$40.15,$37.84,$41.16,$44.47,"$83,515"
39-9031,Fitness Trainers & Aerobics Instructors,"4,299",$21.78,$16.90,$21.14,$25.32,"$45,292"
53-2031,Flight Attendants,935,,,,,"$41,842"
47-2042,"Floor Layers, Not Carpet, Wood, & Hard Tiles",,$19.30,$14.64,$19.03,$24.26,"$40,153"
27-1023,Floral Designers,412,$15.43,$13.13,$14.89,$17.19,"$32,099"
51-3092,Food Batchmakers,715,$13.56,$10.49,$12.91,$15.63,"$28,222"
51-3093,Food Cooking Machine Operators & Tenders,100,$13.88,$10.48,$11.46,$17.88,"$28,861"
35-9099,"Food Preparation & Serving Related Wkrs, A/O",,$11.39,$9.38,$10.56,$12.69,"$23,696"
35-1012,"Food Preparation & Serving Wkrs, 1st-Ln Spvrs/Mgrs of","6,127",$18.60,$14.20,$18.11,$22.49,"$38,698"
35-2021,Food Preparation Wkrs,"5,890",$11.99,$9.79,$11.38,$13.74,"$24,949"
19-1012,Food Scientists & Technologists,73,$34.54,$24.61,$33.95,$44.15,"$71,851"
35-3041,"Food Servers, Nonrestaurant","3,230",$12.14,$9.36,$11.16,$14.40,"$25,251"
11-9051,Food Svc Mgrs,,$36.64,$27.26,$40.20,$44.31,"$76,211"
51-3091,Food/Tobacco Roasting/Baking/Drying Mach Ops/Tenders,130,$18.43,$13.30,$19.53,$22.66,"$38,334"
25-1124,"Foreign Language & Literature Teachers, Postsecondary",296,,,,,"$56,624"
19-4093,Forest & Conservation Technicians,,$17.41,$12.96,$16.27,$19.93,"$36,230"
19-1032,Foresters,,$27.69,$24.33,$26.61,$32.08,"$57,577"
51-4022,"Forging Machine Setters, Ops/Tenders, Mtl/Plastic",,$22.92,$17.96,$20.72,$23.69,"$47,678"
51-4071,Foundry Mold & Coremakers,66,$16.39,$13.92,$16.23,$18.60,"$34,086"
39-4831,"Funeral Svc Mgrs, Dirs, Morticians, & Undertakers",,$26.53,$18.30,$21.25,$28.01,"$55,168"
51-9051,"Furnace, Kiln, Oven, Drier, & Kettle Ops & Tenders",186,$18.08,$13.36,$18.24,$22.12,"$37,612"
51-7021,Furniture Finishers,,$16.62,$13.40,$15.87,$19.57,"$34,562"
39-3012,Gaming & Sports Book Writers & Runners,,$17.22,$11.86,$16.88,$22.25,"$35,810"
43-3041,Gaming Cage Wkrs,360,$12.92,$10.57,$11.85,$15.09,"$26,859"
41-2012,Gaming Change Persons & Booth Cashiers,,$11.88,$9.92,$11.32,$13.61,"$24,715"
39-3011,Gaming Dealers,"2,323",$15.29,$12.13,$13.96,$17.80,"$31,795"
11-9071,Gaming Mgrs,56,$43.22,$31.79,$40.50,$50.90,"$89,898"
39-1011,Gaming Supervisors,349,$24.83,$19.61,$22.72,$29.31,"$51,638"
33-9031,Gaming Surveillance Officers & Gaming Investigators,163,$19.93,$12.76,$16.84,$26.99,"$41,449"
53-7071,Gas Compressor & Gas Pumping Station Operators,,$23.26,$16.38,$17.92,$22.74,"$48,367"
51-8092,Gas Plant Operators,32,$32.34,$26.94,$32.42,$37.74,"$67,253"
11-1021,General & Operations Mgrs,"13,489",$67.23,$43.41,$58.97,$84.09,"$139,824"
19-3092,Geographers,,$33.29,$25.73,$31.83,$40.55,"$69,246"
25-1064,"Geography Teachers, Postsecondary",44,,,,,"$75,445"
19-4041,Geological & Petroleum Technicians,61,$20.40,$17.42,$20.27,$22.31,"$42,439"
19-2042,"Geoscientists, Not Hydrologists & Geographers",625,$40.99,$29.22,$37.58,$50.14,"$85,256"
47-2121,Glaziers,814,$24.09,$14.21,$21.52,$34.92,"$50,108"
