"Seattle-Bellevue-Everett, WA MD",,,,,,,
2015 Occupational Employment,,,,,,,
and Wage Estimates,,,,,,,
Includes King and Snohomish counties,,,,,,,
Index,,,,,,,
,,,,,,,
SOC,"Seattle-Bellevue-Everett, WA MD", Estimated ,Average,,Percentiles,,Annual
11-9041,Architectural & Engineering Managers," 3,415 ",$71.03,$58.39,$70.32,$84.38,"$147,735"
25-4011,Archivists, 259 ,$30.41,$21.89,$27.20,$39.65,"$63,251"
25-1062,"Area, Ethnic & Cultural Studies Teachers, Postsecondary", 129 ,,,,,"$71,424"
27-1011,Art Directors, 563 ,$51.31,$40.54,$47.99,$58.14,"$106,730"
25-1121,"Art, Drama & Music Teachers Postsecondary", 747 ,,,,,"$68,504"
27-1019,"Artists & Related Workers, All Other", 42 ,$28.79,$18.10,$29.34,$35.98,"$59,875"
51-2099,"Artists & Related Workers, All Other"," 2,956 ",$15.41,$11.43,$14.05,$17.52,"$32,062"
27-2021,Athletes & Sports Competitors, 300 ,,,,,"$109,336"
29-9091,Athletic Trainers, 116 ,,,,,"$51,814"
19-2021,Atmospheric & Space Scientists, 131 ,$41.72,$30.70,$41.63,$49.79,"$86,786"
25-1051,"Atmospheric/Earth/Marine/Space Sci Teachers, Postsec", 220 ,,,,,"$94,502"
27-4011,Audio & Video Equipment Technicians, 673 ,$24.99,$17.08,$22.93,$33.08,"$51,976"
29-1181,Audiologists, 193 ,$38.06,$33.00,$36.59,$42.59,"$79,181"
25-9011,Audio-Visual & Multimedia Collections Specialists, 34 ,$22.45,$18.46,$21.40,$24.90,"$46,703"
53-6031,Automotive & Watercraft Service Attendants," 1,137 ",$12.76,$10.45,$11.63,$13.97,"$26,535"
49-3021,Automotive Body & Related Repairers, 729 ,$27.23,$18.22,$23.13,$33.64,"$56,627"
49-3022,Automotive Glass Installers & Repairers, 451 ,$18.25,$13.34,$15.02,$22.27,"$37,958"
49-3023,Automotive Service Technicians & Mechanics," 5,044 ",$22.58,$16.60,$21.78,$27.60,"$46,963"
39-6011,Baggage Porters & Bellhops, 283 ,$11.82,$9.67,$10.64,$11.92,"$24,586"
33-3011,Bailiffs, 102 ,$27.17,$23.83,$28.25,$32.74,"$56,518"
51-3011,Bakers," 3,195 ",$13.66,$9.85,$12.43,$16.39,"$28,418"
39-5011,Barbers,,$12.48,$9.60,$9.73,$12.64,"$25,955"
35-3011,Bartenders," 6,447 ",$16.26,$10.39,$13.97,$20.00,"$33,823"
49-3091,Bicycle Repairers, 94 ,$13.88,$11.42,$13.44,$15.90,"$28,871"
43-3011,Bill & Account Collectors," 2,764 ",$17.94,$13.80,$17.65,$21.47,"$37,325"
43-3021,Billing & Posting Clerks & Machine Operators," 5,303 ",$20.06,$16.57,$20.10,$23.27,"$41,729"
19-1021,Biochemists & Biophysicists, 300 ,$41.12,$24.78,$38.69,$53.38,"$85,528"
25-1042,"Biological Science Teachers, Postsecondary", 598 ,,,,,"$92,606"
19-1029,"Biological Scientists, All Other", 657 ,$37.74,$25.36,$36.97,$46.99,"$78,491"
19-4021,Biological Technicians," 1,914 ",$22.48,$17.48,$21.66,$27.06,"$46,754"
17-2031,Biomedical Engineers, 264 ,$35.79,$24.81,$29.94,$43.51,"$74,456"
47-2011,Boilermakers, 238 ,$25.65,$23.97,$26.76,$29.18,"$53,344"
43-3031,"Bookkeeping, Accounting & Auditing Clerks"," 17,044 ",$21.21,$16.52,$20.42,$24.47,"$44,124"
47-3011,Brick/Block/Stonemason & Tile/Marble Setter Helpers,,$25.81,$20.29,$26.49,$31.28,"$53,689"
47-2021,Brickmasons & Blockmasons, 258 ,$33.44,$29.77,$33.35,$36.66,"$69,558"
53-6011,Bridge & Lock Tenders, 56 ,$24.71,$19.12,$26.04,$29.35,"$51,393"
27-4012,Broadcast Technicians, 298 ,$15.43,$11.48,$14.23,$17.26,"$32,102"
43-4011,Brokerage Clerks, 586 ,$24.38,$18.91,$24.93,$28.81,"$50,700"
13-2031,Budget Analysts," 1,225 ",$37.80,$29.24,$37.06,$46.77,"$78,623"
37-2019,"Building Cleaning Workers, All Other",,$14.45,$12.80,$14.59,$16.70,"$30,042"
49-3031,Bus & Truck Mechanics & Diesel Engine Specialists," 2,150 ",$29.10,$24.31,$29.09,$34.56,"$60,542"
53-3022,"Bus Drivers, School or Special Client"," 2,717 ",$18.03,$15.33,$18.71,$21.49,"$37,495"
53-3021,"Bus Drivers, Transit & Intercity"," 4,015 ",$24.33,$12.86,$27.30,$32.76,"$50,610"
13-1199,"Business Operations Specialists, All Other"," 19,037 ",$37.73,$26.36,$34.96,$46.67,"$78,471"
25-1011,"Business Teachers, Postsecondary", 576 ,,,,,"$86,208"
51-3021,Butchers & Meat Cutters," 1,173 ",$17.14,$11.26,$17.16,$22.32,"$35,644"
13-1021,"Buyers & Purchasing Agents, Farm Products", 61 ,$46.20,$28.13,$43.88,$64.20,"$96,074"
51-7011,Cabinetmakers & Bench Carpenters, 609 ,$19.81,$14.24,$19.12,$25.86,"$41,191"
27-4031,"Camera Operators, TV, Video & Motion Picture", 183 ,$22.07,$15.23,$20.35,$29.92,"$45,913"
53-5021,"Captains, Mates & Pilots of Water Vessels"," 1,216 ",$39.38,$32.79,$39.75,$47.94,"$81,894"
29-2031,Cardiovascular Technologists & Technicians, 441 ,$32.40,$23.13,$32.41,$40.96,"$67,388"
25-2023,"Career/Technical Education Teachers, Middle School", 43 ,,,,,"$66,760"
25-2032,"Career/Technical Education Teachers, Secondary School", 628 ,,,,,"$64,823"
43-5011,Cargo & Freight Agents," 1,258 ",$25.21,$17.11,$22.78,$29.86,"$52,435"
47-3012,Carpenter Helpers, 374 ,$14.71,$9.45,$13.58,$17.32,"$30,604"
47-2031,Carpenters," 10,192 ",$26.44,$20.00,$25.78,$32.87,"$54,996"
47-2041,Carpet Installers,,$19.62,$13.01,$15.52,$30.76,"$40,819"
17-1021,Cartographers & Photogrammetrists, 241 ,$38.10,$32.05,$38.34,$44.67,"$79,262"
41-2011,Cashiers," 26,046 ",$13.95,$10.71,$12.18,$15.51,"$29,004"
47-2051,Cement Masons & Concrete Finishers, 925 ,$20.53,$14.02,$18.61,$26.21,"$42,714"
35-1011,Chefs & Head Cooks," 1,377 ",$26.05,$20.30,$23.26,$29.26,"$54,178"
17-2041,Chemical Engineers, 143 ,$41.48,$28.33,$40.14,$53.87,"$86,279"
51-9011,Chemical Equipment Operators & Tenders,,$25.84,$20.22,$23.99,$28.49,"$53,751"
19-4031,Chemical Technicians, 326 ,$23.22,$19.69,$21.74,$24.42,"$48,295"
25-1052,"Chemistry Teachers, Postsecondary", 198 ,,,,,"$81,280"
19-2031,Chemists, 640 ,$32.03,$20.73,$29.47,$42.26,"$66,628"
11-1011,Chief Executives," 2,251 ",,,,,"$232,341"
21-1021,"Child, Family & School Social Workers"," 2,495 ",$23.26,$19.45,$23.72,$27.46,"$48,387"
39-9011,Childcare Workers," 2,905 ",$12.26,$10.23,$11.44,$13.91,"$25,516"
29-1011,Chiropractors, 287 ,$31.93,$21.73,$25.22,$29.36,"$66,415"
27-2032,Choreographers,,$36.96,$31.17,$37.76,$43.93,"$76,879"
17-3022,Civil Engineering Technicians, 635 ,$30.63,$25.51,$28.96,$35.07,"$63,708"
17-2051,Civil Engineers," 5,969 ",$41.97,$33.18,$40.98,$50.06,"$87,303"
13-1031,"Claims Adjusters, Examiners & Investigators"," 3,694 ",$34.17,$26.54,$33.85,$41.23,"$71,069"
53-7061,Cleaners of Vehicles & Equipment," 3,087 ",$14.19,$11.35,$13.38,$15.65,"$29,524"
51-9192,Cleaning/Washing/Metal Pickling Equipment Oprs & Tenders, 239 ,$16.50,$12.29,$14.32,$18.59,"$34,311"
21-2011,Clergy, 263 ,$29.45,$23.80,$27.63,$33.51,"$61,244"
19-3031,"Clinical, Counseling & School Psychologists", 626 ,$34.29,$28.52,$33.15,$37.47,"$71,333"
51-4012,"CNC Machine Tool Programmers, Metal/Plastic", 304 ,$42.74,$34.75,$44.37,$52.04,"$88,887"
27-2022,Coaches & Scouts," 3,831 ",,,,,"$39,200"
51-9121,Coating/Painting/Spraying Machine Setters/Oprs/Tenders, 863 ,$16.99,$13.81,$16.50,$19.87,"$35,329"
49-9091,"Coin, Vending & Amusement Machine Svcrs & Repairers", 368 ,$17.71,$13.47,$18.17,$21.64,"$36,822"
35-3021,"Combined Food Prep & Serving Workers, Inc Fast Food"," 25,052 ",$10.96,$9.60,$10.16,$11.52,"$22,797"
27-1021,Commercial & Industrial Designers, 353 ,$35.02,$28.59,$35.16,$41.69,"$72,844"
53-2012,Commercial Pilots, 542 ,,,,,"$102,695"
43-2099,"Communications Equipment Operators, All Other", 24 ,$16.21,$13.94,$16.20,$18.17,"$33,702"
25-1122,"Communications Teachers, Postsecondary", 203 ,,,,,"$57,806"
21-1099,"Community & Social Service Specialists, All Other", 636 ,$22.89,$15.77,$23.61,$28.76,"$47,596"
21-1094,Community Health Workers, 279 ,$22.35,$15.74,$20.62,$28.12,"$46,490"
11-3111,Compensation & Benefits Managers, 208 ,$60.54,$46.87,$57.44,$70.63,"$125,935"
13-1141,"Compensation, Benefits & Job Analysis Specialists"," 1,115 ",$38.63,$28.32,$35.65,$47.02,"$80,357"
13-1041,Compliance Officers (Except Agric/Const/Safety/Trans)," 3,211 ",$36.89,$26.99,$35.57,$43.81,"$76,727"
11-3021,Computer & Information Systems Managers," 7,532 ",$74.44,$57.54,$70.31,$86.48,"$154,823"
51-4011,"Computer Controlled Machine Tool Operators, Metal/Plastic"," 1,242 ",$27.14,$17.22,$24.57,$38.42,"$56,428"
17-2061,Computer Hardware Engineers," 1,324 ",$51.35,$33.92,$50.44,$66.69,"$106,811"
15-1143,Computer Network Architects," 2,925 ",$56.14,$47.56,$55.78,$65.98,"$116,769"
15-1152,Computer Network Support Specialists," 2,417 ",$37.44,$28.62,$35.07,$44.85,"$77,863"
15-1199,"Computer Occupations, All Other"," 3,046 ",$34.62,$24.87,$32.02,$45.62,"$72,012"
43-9011,Computer Operators, 478 ,$21.62,$17.03,$21.49,$26.45,"$44,966"
15-1131,Computer Programmers," 12,282 ",$58.38,$47.72,$58.39,$69.77,"$121,433"
25-1021,"Computer Science Teachers, Postsecondary", 256 ,,,,,"$86,147"
15-1121,Computer Systems Analysts," 11,706 ",$49.69,$37.23,$47.04,$56.93,"$103,364"
15-1151,Computer User Support Specialists," 9,610 ",$29.14,$20.63,$26.16,$34.16,"$60,605"
49-2011,"Computer, Automated Teller & Office Machine Repairers"," 1,223 ",$19.61,$14.77,$18.29,$22.84,"$40,787"
39-6012,Concierges, 500 ,$14.85,$12.76,$14.22,$16.59,"$30,890"
19-1031,Conservation Scientists, 104 ,$35.40,$24.90,$32.16,$43.38,"$73,624"
47-4011,Construction & Building Inspectors," 1,022 ",$35.41,$31.01,$35.30,$41.48,"$73,642"
47-4099,"Construction & Related Workers, All Other", 308 ,$20.48,$14.51,$19.34,$26.06,"$42,592"
47-2061,Construction Laborers," 8,528 ",$23.45,$16.21,$21.51,$31.84,"$48,774"
11-9021,Construction Managers," 2,981 ",$49.20,$38.30,$46.29,$57.78,"$102,330"
47-1011,Construction Supervisors of Trades & Extraction Workers," 5,487 ",$39.28,$31.39,$39.39,$46.36,"$81,699"
47-3019,"Construction Trades Helpers, All Other",,$14.59,$12.25,$13.73,$15.18,"$30,341"
47-5041,Continuous Mining Machine Operators,,$27.01,$25.15,$27.13,$29.11,"$56,172"
49-9012,Control & Valve Installers & Repairers (Not Mech Door), 253 ,$27.42,$18.82,$26.90,$35.46,"$57,043"
53-7011,Conveyor Operators & Tenders, 207 ,$19.63,$13.52,$16.57,$25.85,"$40,840"
35-2019,"Cooks, All Other", 80 ,$15.56,$11.12,$14.30,$18.09,"$32,382"
35-2011,"Cooks, Fast Food"," 3,270 ",$11.35,$9.62,$10.85,$12.55,"$23,615"
35-2012,"Cooks, Institution & Cafeteria"," 3,874 ",$15.43,$13.04,$15.05,$17.65,"$32,096"
35-2014,"Cooks, Restaurant"," 12,147 ",$13.37,$11.56,$13.26,$14.81,"$27,804"
35-2015,"Cooks, Short Order"," 1,827 ",$12.08,$10.21,$11.68,$13.66,"$25,127"
33-1011,Correctional Officer Supervisors, 196 ,$34.34,$25.31,$33.86,$40.95,"$71,437"
33-3012,Correctional Officers & Jailers," 1,902 ",$27.23,$22.39,$26.75,$32.94,"$56,641"
13-1051,Cost Estimators," 2,943 ",$36.19,$27.03,$35.40,$44.78,"$75,277"
39-3092,Costume Attendants, 59 ,$20.57,$15.64,$19.78,$24.57,"$42,785"
21-1019,"Counselors, All Other", 156 ,$23.62,$17.81,$22.17,$28.14,"$49,117"
41-2021,Counter & Rental Clerks," 7,409 ",$16.17,$12.32,$15.52,$19.23,"$33,614"
35-3022,"Counter Attendants, Cafeteria/Concession & Coffee Shop"," 7,716 ",$11.09,$9.55,$10.26,$11.64,"$23,063"
43-5021,Couriers & Messengers, 930 ,$14.75,$12.69,$14.48,$17.04,"$30,668"
23-2091,Court Reporters,,$23.55,$11.15,$21.59,$37.44,"$49,005"
43-4031,"Court, Municipal & License Clerks", 899 ,$24.42,$20.49,$24.87,$27.91,"$50,791"
53-7021,Crane & Tower Operators, 621 ,$35.01,$28.01,$35.89,$43.30,"$72,835"
13-2041,Credit Analysts, 497 ,$44.14,$30.82,$41.09,$54.55,"$91,795"
43-4041,"Credit Authorizers, Checkers & Clerks", 290 ,$24.38,$17.56,$20.99,$25.96,"$50,700"
13-2071,Credit Counselors, 219 ,$21.82,$19.16,$21.52,$23.91,"$45,385"
25-1111,"Criminal Justice & Law Enforcement Teachers, Postsec", 59 ,,,,,"$61,538"
33-9091,Crossing Guards, 410 ,$19.46,$11.59,$19.37,$24.58,"$40,465"
51-9021,Crush/Grind/Polishing Machine Setters/Operators & Tenders, 195 ,$15.52,$12.88,$14.87,$18.03,"$32,296"
25-4012,Curators, 99 ,$31.36,$22.95,$28.81,$37.80,"$65,239"
43-4051,Customer Service Representatives,,$18.68,$14.57,$17.84,$22.11,"$38,847"
51-4031,"Cut/Punch/Press Mach Setters/Oprs/Tenders, Metal/Plastic"," 1,278 ",$20.13,$14.89,$17.87,$22.41,"$41,873"
51-9031,"Cutters & Trimmers, Hand",,$15.54,$13.03,$15.29,$17.77,"$32,326"
51-9032,Cutting & Slicing Machine Setters/Operators & Tenders, 735 ,$18.45,$14.23,$17.87,$22.35,"$38,372"
43-9021,Data Entry Keyers," 1,404 ",$18.35,$14.62,$17.61,$21.61,"$38,157"
15-1141,Database Administrators," 1,788 ",$46.57,$37.71,$47.95,$56.52,"$96,864"
41-9011,Demonstrators & Product Promoters,,$12.88,$10.65,$11.71,$12.92,"$26,782"
31-9091,Dental Assistants," 4,710 ",$20.35,$16.85,$20.33,$23.54,"$42,315"
29-2021,Dental Hygienists," 2,681 ",$46.01,$41.47,$45.59,$50.84,"$95,719"
51-9081,Dental Laboratory Technicians, 500 ,$21.80,$19.49,$21.79,$24.18,"$45,344"
29-1021,"Dentists, General"," 1,169 ",,,,,"$185,749"
27-1029,"Designers, All Other", 108 ,$29.18,$23.95,$29.05,$34.86,"$60,686"
43-9031,Desktop Publishers, 199 ,$23.75,$17.17,$23.26,$31.39,"$49,391"
33-3021,Detectives & Criminal Investigators, 570 ,$50.46,$41.57,$50.03,$61.36,"$104,944"
29-2032,Diagnostic Medical Sonographers, 572 ,$42.05,$36.87,$42.13,$47.03,"$87,455"
29-2051,Dietetic Technicians, 358 ,$19.77,$16.60,$19.14,$23.16,"$41,127"
29-1031,Dietitians & Nutritionists, 929 ,$32.76,$28.62,$33.15,$37.01,"$68,149"
35-9011,Dining Room & Cafeteria Attendants & Bartender Helpers," 4,956 ",$11.97,$9.57,$10.26,$11.94,"$24,882"
21-2021,"Directors, Religious Activities & Education", 54 ,$35.67,$21.19,$40.13,$45.61,"$74,202"
35-9021,Dishwashers," 5,977 ",$11.15,$10.00,$10.90,$11.79,"$23,196"
43-5032,"Dispatchers (Except Police, Fire & Ambulance)"," 2,042 ",$23.41,$16.84,$21.89,$28.27,"$48,691"
17-3019,"Drafters, All Other", 487 ,$27.57,$22.74,$28.06,$33.27,"$57,350"
51-4032,Drilling/Boring Machine Tool Setters/Oprs/Tenders, 107 ,$17.08,$13.14,$14.96,$18.67,"$35,522"
53-3031,Driver/Sales Workers," 4,044 ",$13.35,$9.74,$12.28,$14.61,"$27,776"
47-2081,Drywall & Ceiling Tile Installers," 1,327 ",$24.14,$19.11,$23.21,$32.61,"$50,203"
47-5021,"Earth Drillers, Except Oil & Gas", 89 ,$34.95,$31.30,$36.06,$40.61,"$72,690"
25-1063,"Economics Teachers, Postsecondary", 92 ,,,,,"$79,698"
19-3011,Economists, 156 ,$42.08,$34.57,$40.52,$46.99,"$87,516"
27-3041,Editors," 1,649 ",$33.96,$21.34,$28.87,$42.61,"$70,623"
11-9031,"Educ Administrators, Preschool/Childcare Center/Program", 571 ,$21.10,$16.04,$18.64,$26.46,"$43,885"
11-9039,"Education Administrators, All Other", 506 ,$35.24,$23.29,$35.83,$44.82,"$73,290"
11-9032,"Education Administrators, Elementary & Secondary School"," 1,449 ",,,,,"$110,046"
11-9033,"Education Administrators, Postsecondary"," 1,076 ",$51.42,$36.19,$43.65,$57.08,"$106,953"
25-1081,"Education Teachers, Postsecondary", 433 ,,,,,"$70,663"
25-9099,"Education, Training & Library Workers, All Other"," 1,763 ",$25.13,$18.19,$24.14,$29.93,"$52,260"
21-1012,"Educational, Guidance, Vocational & School Counselors"," 1,813 ",$28.38,$23.55,$28.07,$33.53,"$59,043"
49-2092,"Electric Motor, Power Tool & Related Repairers", 181 ,,,,,
51-2022,Electrical & Electronic Equipment Assemblers," 3,416 ",$17.29,$13.80,$16.34,$19.31,"$35,970"
17-3012,Electrical & Electronics Drafters, 738 ,,,,,
17-3023,Electrical & Electronics Engineering Technicians," 1,104 ",$30.84,$24.61,$30.53,$35.95,"$64,154"
17-2071,Electrical Engineers," 4,127 ",$51.49,$40.20,$50.49,$62.58,"$107,095"
49-9051,Electrical Power Line Installers & Repairers, 687 ,$39.88,$36.81,$41.69,$45.39,"$82,953"
49-2093,"Electrical/Electronics Install/Repair, Transp Equip", 262 ,$30.95,$27.67,$32.39,$35.65,"$64,375"
49-2094,"Electrical/Electronics Repairers, Comm & Industrial Equip", 585 ,$34.95,$28.70,$35.32,$43.51,"$72,680"
47-3013,Electrician Helpers, 115 ,$18.91,$13.70,$18.17,$24.56,"$39,329"
47-2111,Electricians," 5,673 ",$35.43,$28.44,$35.82,$43.29,"$73,683"
51-2023,Electromechanical Equipment Assemblers, 481 ,$17.52,$14.28,$17.03,$20.26,"$36,428"
49-2097,Electronic Home Entertainment Equip Install/Repair, 254 ,$25.44,$18.56,$26.70,$30.71,"$52,916"
17-2072,"Electronics Engineers, Except Computer"," 2,016 ",$53.11,$41.78,$52.74,$63.40,"$110,472"
25-2021,"Elementary School Teachers, Except Special Education"," 10,086 ",,,,,"$62,126"
43-4061,"Eligibility Interviewers, Government Programs"," 1,020 ",$23.83,$22.52,$24.84,$27.10,"$49,564"
39-4011,Embalmers, 11 ,$30.85,$26.77,$30.35,$34.80,"$64,162"
11-9161,Emergency Management Directors, 58 ,$44.52,$37.36,$44.48,$52.44,"$92,606"
29-2041,Emergency Medical Technicians & Paramedics," 1,238 ",$31.14,$17.89,$28.66,$43.62,"$64,782"
51-2031,Engine & Other Machine Assemblers, 511 ,$19.77,$17.19,$19.59,$22.33,"$41,120"
25-1032,"Engineering Teachers, Postsecondary", 455 ,,,,,"$103,293"
17-3029,"Engineering Technicians, Except Drafters, All Other", 338 ,$33.83,$25.44,$34.28,$43.14,"$70,359"
17-2199,"Engineers, All Other"," 2,502 ",$42.35,$27.60,$40.37,$55.95,"$88,094"
25-1123,"English Language & Literature Teachers, Postsecondary", 625 ,,,,,"$61,629"
27-2099,"Entertainers/Performers/Sports & Related Workers, All Other", 175 ,,,,,
39-3099,"Entertainment Attendants & Related Workers, All Other",,$12.66,$11.27,$12.77,$14.02,"$26,333"
17-3025,Environmental Engineering Technicians, 162 ,$29.92,$28.38,$32.68,$35.43,"$62,227"
17-2081,Environmental Engineers, 865 ,$45.53,$36.44,$45.07,$55.00,"$94,705"
19-4091,Environmental Science & Protection Techs (Inc Health), 435 ,$28.06,$22.19,$27.85,$34.25,"$58,344"
25-1053,"Environmental Science Teachers, Postsecondary", 62 ,,,,,"$117,002"
19-2041,Environmental Scientists & Specialists (Inc Health)," 2,094 ",$38.01,$27.42,$36.28,$47.12,"$79,069"
19-1041,Epidemiologists, 200 ,$45.72,$32.71,$41.25,$50.52,"$95,100"
51-9194,Etchers & Engravers,,$22.92,$17.44,$22.61,$27.36,"$47,675"
53-7032,Excavating & Loading Machine & Dragline Operators, 329 ,$29.84,$25.88,$29.79,$34.07,"$62,058"
43-6011,Executive Secretaries & Administrative Assistants," 6,696 ",$27.77,$22.72,$27.33,$32.49,"$57,743"
51-9041,Extrude/Form/Press/Compact Mach Setters/Oprs/Tenders,,$14.69,$12.11,$14.30,$17.08,"$30,555"
51-4021,"Extruding/Drawing Mach Setters/Oprs/Tenders, Metal/Plastic", 573 ,$21.14,$16.34,$20.44,$23.80,"$43,980"
51-6091,"Extruding/Forming Mach Set/Oprs/Tenders, Synthetic/Glass",,$13.87,$11.43,$13.25,$15.94,"$28,855"
51-6092,Fabric & Apparel Patternmakers, 30 ,$19.00,$13.98,$19.87,$23.20,"$39,512"
45-4021,Fallers,,$22.41,$15.59,$21.22,$28.18,"$46,595"
29-1062,Family & General Practitioners, 719 ,,,,,"$178,864"
49-3041,Farm Equipment Mechanics & Service Technicians,,$18.73,$15.04,$19.63,$22.45,"$38,951"
45-2092,Farm Workers & Laborers/Crop/Nursery & Greenhouse, 589 ,$11.41,$9.60,$10.67,$11.84,"$23,743"
45-2093,"Farm Workers, Farm/Ranch/Aquacultural Animals", 153 ,$19.15,$14.58,$16.94,$23.81,"$39,836"
45-1011,"Farming, Fishing & Forestry Worker Supervisors", 106 ,$27.96,$11.86,$31.74,$38.38,"$58,158"
27-1022,Fashion Designers, 103 ,$33.73,$26.18,$32.22,$37.13,"$70,177"
51-2091,Fiberglass Laminators & Fabricators, 469 ,$15.16,$11.49,$14.11,$17.54,"$31,512"
43-4071,File Clerks," 1,319 ",$16.87,$12.39,$15.58,$20.61,"$35,072"
27-4032,Film & Video Editors, 146 ,$26.50,$17.95,$25.03,$33.28,"$55,109"
13-2051,Financial Analysts," 2,423 ",$40.55,$30.63,$38.27,$46.55,"$84,332"
43-3099,"Financial Clerks, All Other", 334 ,$21.74,$17.10,$20.52,$24.06,"$45,210"
13-2061,Financial Examiners, 212 ,$44.61,$32.05,$41.06,$55.34,"$92,798"
11-3031,Financial Managers," 6,732 ",$60.30,$42.32,$55.89,$72.14,"$125,418"
13-2099,"Financial Specialists, All Other",,$33.52,$23.74,$31.67,$41.85,"$69,720"
27-1013,"Fine Artists, Including Painters, Sculptors & Illustrators", 316 ,$37.21,$25.75,$36.28,$46.17,"$77,396"
33-2011,Fire Fighters," 2,785 ",$36.66,$33.18,$38.38,$43.42,"$76,261"
33-1021,Fire Fighting & Prevention Worker Supervisors, 815 ,$47.16,$41.50,$47.58,$54.11,"$98,077"
33-2021,Fire Inspectors & Investigators, 82 ,$47.15,$40.57,$45.71,$52.60,"$98,067"
33-3031,Fish & Game Wardens, 20 ,$26.96,$22.65,$28.27,$32.82,"$56,079"
39-9031,Fitness Trainers & Aerobics Instructors," 4,507 ",$20.52,$13.06,$16.89,$27.70,"$42,672"
47-2043,Floor Sanders & Finishers,,$21.71,$19.89,$21.40,$22.91,"$45,156"
27-1023,Floral Designers, 533 ,$14.53,$11.45,$13.90,$16.98,"$30,216"
51-3092,Food Batchmakers," 1,343 ",$14.86,$10.53,$13.30,$18.24,"$30,901"
51-3093,Food Cooking Machine Operators & Tenders, 123 ,$14.70,$12.51,$14.39,$17.01,"$30,565"
35-9099,"Food Preparation & Serving Related Workers, All Other", 281 ,$11.94,$9.56,$9.71,$11.49,"$24,821"
35-1012,Food Preparation & Serving Worker Supervisors," 7,689 ",$18.53,$13.55,$17.52,$22.87,"$38,534"
35-2021,Food Preparation Workers," 10,063 ",$12.19,$10.23,$11.39,$13.40,"$25,352"
51-3099,"Food Processing Workers, All Other",,$14.11,$10.89,$12.86,$16.90,"$29,334"
19-1012,Food Scientists & Technologists, 69 ,$36.37,$30.42,$35.34,$44.28,"$75,662"
35-3041,"Food Servers, Nonrestaurant"," 2,487 ",$11.63,$9.58,$10.65,$12.30,"$24,177"
