title,est_emp,ann_wage,monthly_rent_allowance,year,98103: Wallingford: Wallingford: Wallingford,98115: Wedgewood: Wedgewood: Wedgewood,98133: North Park: North Park: North Park,98122: Capitol Hill/Madrona: Capitol Hill/Madrona: Capitol Hill/Madrona,98125: Lake City: Lake City: Lake City,98109: Westlake: Westlake: Westlake,98105: University District: University District: University District,98118: Rainier Valley: Rainier Valley: Rainier Valley,98102: Captiol Hill: Captiol Hill: Captiol Hill,98107: Ballard: Ballard: Ballard,98117: Ballard: Ballard: Ballard,98121: BellTown: BellTown: BellTown,98116: West Seattle/Alki: West Seattle/Alki: West Seattle/Alki,98112: Montlake: Montlake: Montlake,98101: Downtown: Downtown: Downtown,98126: West Seattle: West Seattle: West Seattle,98104: Pioneer Square: Pioneer Square: Pioneer Square
Industrial Truck & Tractor Operators,4573,41302,1147.2777777777778,2011,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,True
Tellers,4569,27629,767.4722222222222,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Dental Assistants,4269,39920,1108.888888888889,2011,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False
Dining Room & Cafeteria Attendants & Bartender Helpers,4214,21143,587.3055555555555,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Plumbers, Pipefitters, & Steamfitters",4019,63308,1758.5555555555557,2011,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
Dishwashers,3994,21383,593.9722222222223,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Paralegals & Legal Assistants,3811,53517,1486.5833333333333,2011,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True
Mechanical Engineers,3687,91417,2539.361111111111,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Painters, Construction & Maintenance",3378,38436,1067.6666666666667,2011,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False
Police & Sheriff's Patrol Officers,3355,72678,2018.8333333333333,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Fitness Trainers & Aerobics Instructors,3320,42957,1193.25,2011,False,False,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True
Public Relations Specialists,3277,61020,1695.0,2011,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
Telemarketers,3129,24145,670.6944444444445,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Food Servers, Nonrestaurant",3035,26187,727.4166666666666,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rehabilitation Counselors,3028,41244,1145.6666666666667,2011,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,True
Amusement & Recreation Attendants,3023,22074,613.1666666666666,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Loan Officers,2997,82989,2305.25,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Pharmacy Technicians,2963,39020,1083.888888888889,2011,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False
Insurance Claims & Policy Processing Clerks,2943,40466,1124.0555555555554,2011,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False
Coaches & Scouts,2927,35171,976.9722222222222,2011,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
Machinists,2900,51902,1441.7222222222224,2011,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True
Insurance Sales Agents,2897,68246,1895.7222222222224,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Financial Analysts,2870,87324,2425.6666666666665,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bill & Account Collectors,2847,36641,1017.8055555555555,2011,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False
"Vocational Education Teachers, Postsecondary",2816,64217,1783.8055555555557,2011,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
Cost Estimators,2657,69696,1936.0,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Pharmacists,2601,107147,2976.305555555555,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Cleaners of Vehicles & Equipment,2519,27275,757.6388888888888,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Graphic Designers,2438,55613,1544.8055555555557,2011,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
Gaming Dealers,2425,28767,799.0833333333334,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Dental Hygienists,2402,92947,2581.861111111111,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Cooks, Institution & Cafeteria",2252,31180,866.1111111111112,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Self-Enrichment Education Teachers,2240,46150,1281.9444444444446,2011,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True
Legal Secretaries,2235,49404,1372.3333333333333,2011,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True
Medical Records & Health Information Technicians,2221,41584,1155.111111111111,2011,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,True
Electrical & Electronic Equipment Assemblers,2218,33757,937.6944444444445,2011,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
Taxi Drivers & Chauffeurs,2101,24103,669.5277777777777,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Parts Salespersons,2049,35832,995.3333333333334,2011,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False
Reservation/Transportation Ticket Agents/Travel Clerks,2026,30721,853.3611111111112,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Environmental Scientists & Specialists (Inc Health),2000,77637,2156.5833333333335,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Data Entry Keyers,1981,31704,880.6666666666666,2011,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Industrial Machinery Mechanics,1920,58715,1630.9722222222224,2011,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
Physical Therapists,1909,78835,2189.861111111111,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Librarians,1900,64465,1790.6944444444443,2011,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
Loan Interviewers & Clerks,1883,39275,1090.9722222222222,2011,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False
Database Administrators,1882,86271,2396.4166666666665,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Advertising Sales Agents,1836,59512,1653.111111111111,2011,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
Chief Executives,1695,217935,6053.75,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Medical & Clinical Laboratory Technologists,1689,63728,1770.2222222222224,2011,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
Mental Health Counselors,1680,44778,1243.8333333333333,2011,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True
"Eligibility Interviewers, Government Programs",1677,45920,1275.5555555555554,2011,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True
Printing Press Operators,1671,40483,1124.5277777777778,2011,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False
Roofers,1659,46709,1297.4722222222222,2011,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True
Nonfarm Animal Caretakers,1634,24508,680.7777777777777,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Editors,1612,73073,2029.8055555555557,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bakers,1607,30548,848.5555555555555,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Payroll & Timekeeping Clerks,1590,44054,1223.7222222222222,2011,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True
Human Resources Managers,1559,116735,3242.6388888888887,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Health Technologists & Technicians, All Other",1490,49038,1362.1666666666667,2011,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True
Emergency Medical Technicians & Paramedics,1484,44786,1244.0555555555554,2011,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True
Sales Engineers,1480,105875,2940.972222222222,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Cargo & Freight Agents,1468,48633,1350.9166666666667,2011,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True
Urban & Regional Planners,1453,73973,2054.8055555555557,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Packaging & Filling Machine Operators & Tenders,1447,31349,870.8055555555555,2011,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Sewing Machine Operators,1419,26555,737.6388888888888,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Drywall & Ceiling Tile Installers,1323,51596,1433.2222222222224,2011,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True
Massage Therapists,1323,58270,1618.611111111111,2011,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
Architectural & Civil Drafters,1274,49496,1374.888888888889,2011,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True
Sailors & Marine Oilers,1271,49486,1374.611111111111,2011,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True
Medical & Clinical Laboratory Technicians,1233,42760,1187.7777777777778,2011,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Personal Financial Advisors,1233,65548,1820.7777777777776,2011,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
Chefs & Head Cooks,1201,44888,1246.888888888889,2011,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True
Real Estate Sales Agents,1190,46569,1293.5833333333333,2011,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,True,True
Construction & Building Inspectors,1116,66888,1858.0,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Insurance Underwriters,1078,72752,2020.888888888889,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Merchandise Displayers & Window Trimmers,1063,32841,912.25,2011,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Instructional Coordinators,1045,62665,1740.6944444444443,2011,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
"Education Administrators, Postsecondary",962,100705,2797.3611111111113,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Travel Agents,955,42053,1168.138888888889,2011,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,True
Producers & Directors,923,70914,1969.8333333333333,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Cooks, Short Order",914,26126,725.7222222222222,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Painters, Transportation Equipment",913,49401,1372.25,2011,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True
Butchers & Meat Cutters,889,40269,1118.5833333333333,2011,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False
Physician Assistants,871,101758,2826.6111111111113,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Surgical Technologists,826,50195,1394.3055555555557,2011,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True
Occupational Therapists,761,72222,2006.1666666666667,2011,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Substance Abuse & Behavioral Disorder Counselors,679,40936,1137.111111111111,2011,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,False
Retail Salespersons,44106,29856,829.3333333333334,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Cashiers,25069,27277,757.6944444444445,2012,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Registered Nurses,22650,79384,2205.111111111111,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Office Clerks, General",21102,33976,943.7777777777778,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Waiters & Waitresses,20079,31598,877.7222222222222,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Stock Clerks & Order Fillers,16531,31249,868.0277777777778,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
"Business Operations Specialists, All Other",15290,73714,2047.611111111111,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Cooks, Restaurant",12918,27200,755.5555555555555,2012,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Accountants & Auditors,12838,71419,1983.861111111111,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Teacher Assistants,10511,32407,900.1944444444445,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Receptionists & Information Clerks,10409,30514,847.6111111111112,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
"Truck Drivers, Heavy & Tractor-Trailer",10177,44956,1248.7777777777778,2012,False,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Computer Systems Analysts,9935,91286,2535.722222222222,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Computer Programmers,9098,96299,2674.972222222222,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Carpenters,8511,53652,1490.3333333333333,2012,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True
Management Analysts,8387,93390,2594.1666666666665,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Executive Secretaries & Administrative Assistants,8141,54972,1527.0,2012,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True
Security Guards,8058,40080,1113.3333333333333,2012,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,True,True
Medical Secretaries,7370,42793,1188.6944444444446,2012,False,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Lawyers,7069,124379,3454.972222222222,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Packers & Packagers, Hand",6856,24888,691.3333333333334,2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Counter & Rental Clerks,6814,28785,799.5833333333334,2012,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Bartenders,6530,29156,809.8888888888888,2012,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Civil Engineers,6151,85482,2374.5,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Medical Assistants,5689,37640,1045.5555555555554,2012,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False
Electricians,4931,66668,1851.888888888889,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Construction Laborers,4774,41753,1159.8055555555554,2012,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Tellers,4350,29004,805.6666666666666,2012,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Order Clerks,4308,37737,1048.25,2012,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True
Fitness Trainers & Aerobics Instructors,4299,45292,1258.111111111111,2012,False,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Dining Room & Cafeteria Attendants & Bartender Helpers,4277,22333,620.3611111111111,2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Home Health Aides,4170,24649,684.6944444444445,2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Paralegals & Legal Assistants,3965,53619,1489.4166666666667,2012,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True
Dental Assistants,3956,41151,1143.0833333333333,2012,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Industrial Truck & Tractor Operators,3875,41684,1157.888888888889,2012,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Dishwashers,3765,21214,589.2777777777777,2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rehabilitation Counselors,3443,46935,1303.75,2012,True,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Coaches & Scouts,3308,43308,1203.0,2012,False,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
"Painters, Construction & Maintenance",3291,40889,1135.8055555555554,2012,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Police & Sheriff's Patrol Officers,3283,73631,2045.3055555555557,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Insurance Claims & Policy Processing Clerks,3275,41137,1142.6944444444446,2012,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Public Relations Specialists,3248,61412,1705.888888888889,2012,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
"Food Servers, Nonrestaurant",3230,25251,701.4166666666666,2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pharmacy Technicians,3181,40371,1121.4166666666667,2012,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,True,True
Mechanical Engineers,3151,92351,2565.3055555555557,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Amusement & Recreation Attendants,3090,23923,664.5277777777777,2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Financial Analysts,3059,90710,2519.722222222222,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Plumbers, Pipefitters, & Steamfitters",3042,66696,1852.6666666666667,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Loan Officers,2951,84529,2348.027777777778,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Insurance Sales Agents,2946,63620,1767.2222222222224,2012,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
Team Assemblers,2926,31889,885.8055555555555,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Self-Enrichment Education Teachers,2784,44987,1249.638888888889,2012,False,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
"Vocational Education Teachers, Postsecondary",2765,66725,1853.4722222222224,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Pharmacists,2717,111495,3097.0833333333335,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Dental Hygienists,2664,95226,2645.1666666666665,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bill & Account Collectors,2635,36936,1026.0,2012,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False
Graphic Designers,2590,58262,1618.388888888889,2012,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
Electrical & Electronic Equipment Assemblers,2480,35769,993.5833333333334,2012,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False
Cost Estimators,2478,70360,1954.4444444444443,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Cleaners of Vehicles & Equipment,2465,27872,774.2222222222222,2012,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
"Cooks, Institution & Cafeteria",2393,31637,878.8055555555555,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Machinists,2386,54985,1527.361111111111,2012,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True
Telemarketers,2358,26255,729.3055555555555,2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gaming Dealers,2323,31795,883.1944444444445,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Medical Records & Health Information Technicians,2201,41999,1166.638888888889,2012,False,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Taxi Drivers & Chauffeurs,2126,25020,695.0,2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Personal Financial Advisors,2105,72404,2011.2222222222224,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Environmental Scientists & Specialists (Inc Health),2062,79733,2214.8055555555557,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Loan Interviewers & Clerks,2054,37638,1045.5,2012,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False
Database Administrators,2046,88536,2459.3333333333335,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Industrial Machinery Mechanics,2033,62607,1739.0833333333333,2012,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True
Chief Executives,1967,211712,5880.88888888889,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Advertising Sales Agents,1966,66260,1840.5555555555557,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Parts Salespersons,1936,36065,1001.8055555555555,2012,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False
Physical Therapists,1881,79305,2202.9166666666665,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Editors,1840,70475,1957.638888888889,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Librarians,1796,64954,1804.2777777777776,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Real Estate Sales Agents,1780,48324,1342.3333333333333,2012,True,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Legal Secretaries,1756,52583,1460.638888888889,2012,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True
"Eligibility Interviewers, Government Programs",1747,46088,1280.2222222222222,2012,False,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Emergency Medical Technicians & Paramedics,1718,47877,1329.9166666666667,2012,True,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Human Resources Managers,1706,114161,3171.1388888888887,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Mental Health Counselors,1700,45433,1262.0277777777778,2012,False,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Roofers,1684,45996,1277.6666666666667,2012,False,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
"Health Technologists & Technicians, All Other",1666,49200,1366.6666666666667,2012,True,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Massage Therapists,1649,52522,1458.9444444444443,2012,True,True,True,True,True,True,True,True,False,False,True,False,True,True,False,True,True
Urban & Regional Planners,1585,73810,2050.277777777778,2012,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bakers,1543,29566,821.2777777777778,2012,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Medical & Clinical Laboratory Technologists,1543,64207,1783.5277777777776,2012,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
Payroll & Timekeeping Clerks,1531,46826,1300.7222222222222,2012,True,True,True,False,True,False,True,True,False,False,True,False,True,True,False,True,True
Nonfarm Animal Caretakers,1515,25228,700.7777777777778,2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Reservation/Transportation Ticket Agents/Travel Clerks,1444,33131,920.3055555555555,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Data Entry Keyers,1396,32808,911.3333333333334,2012,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
