SOC code,Seattle-Bellevue-Everett WA MD occupational title, Estimated employment ,Average wage,25th percentile,50th percentile,75th percentile,Annual wage,,Index
25-9011,Audio-Visual & Multimedia Collections Specialists, 29 ,$23.28,$19.78,$22.40,$25.43,"$48,424",,
53-6031,Automotive & Watercraft Service Attendants, 889 ,$13.67,$11.34,$13.00,$14.98,"$28,425",,
49-3021,Automotive Body & Related Repairers, 889 ,$29.35,$20.47,$26.50,$35.56,"$61,046",,
49-3023,Automotive Service Technicians & Mechanics," 5,544 ",$23.42,$15.82,$21.70,$28.71,"$48,711",,
49-2091,Avionics Technicians, 923 ,$36.77,$28.37,$39.41,$46.12,"$76,482",,
39-6011,Baggage Porters & Bellhops, 360 ,$13.71,$11.11,$12.57,$15.72,"$28,514",,
33-3011,Bailiffs, 109 ,$30.58,$26.56,$30.92,$35.20,"$63,602",,
51-3011,Bakers," 2,784 ",$14.92,$12.08,$14.20,$17.26,"$31,018",,
39-5011,Barbers,,$17.65,$15.01,$17.07,$18.98,"$36,700",,
35-3011,Bartenders," 6,752 ",$17.04,$11.55,$14.69,$21.10,"$35,447",,
43-3011,Bill & Account Collectors," 1,932 ",$19.76,$15.95,$18.90,$23.36,"$41,109",,
43-3021,Billing/Posting Clerks & Machine Operators," 4,713 ",$22.00,$17.99,$21.42,$25.37,"$45,776",,
19-1021,Biochemists & Biophysicists, 229 ,$39.14,$24.99,$31.04,$51.63,"$81,406",,
25-1042,"Biological Science Teachers, Postsecondary", 600 ,,,,,"$100,656",,
19-1029,"Biological Scientists, All Other", 658 ,$38.22,$27.22,$36.97,$46.81,"$79,482",,
19-4021,Biological Technicians," 1,738 ",$21.83,$17.49,$20.79,$24.66,"$45,407",,
17-2031,Biomedical Engineers, 268 ,$47.57,$32.43,$42.54,$67.13,"$98,955",,
47-2011,Boilermakers,,$28.57,$27.13,$28.83,$30.36,"$59,425",,
43-3031,"Bookkeeping, Accounting & Auditing Clerks"," 16,901 ",$22.34,$17.68,$21.53,$25.44,"$46,470",,
47-3011,Brick/Block/Stonemason & Tile/Marble Setter Helpers, 131 ,$23.64,$18.05,$21.77,$29.89,"$49,183",,
47-2021,Brickmasons & Blockmasons, 520 ,,,,,,,
53-6011,Bridge & Lock Tenders, 63 ,$25.94,$19.42,$27.04,$30.42,"$53,954",,
27-4012,Broadcast Technicians, 337 ,$19.24,$11.25,$15.42,$26.67,"$40,019",,
43-4011,Brokerage Clerks, 536 ,$27.29,$23.15,$27.62,$30.85,"$56,773",,
13-2031,Budget Analysts, 827 ,$37.78,$29.11,$36.14,$46.96,"$78,573",,
53-3022,"Bus Drivers, School or Special Client"," 4,292 ",$19.90,$16.94,$21.02,$23.28,"$41,395",,
53-3021,"Bus Drivers, Transit & Intercity"," 4,109 ",$29.30,$23.92,$31.14,$35.12,"$60,927",,
49-3031,Bus/Truck Mechanics & Diesel Engine Specialists," 2,210 ",$28.39,$24.09,$28.53,$33.52,"$59,049",,
13-1199,"Business Operations Specialists, All Other"," 21,343 ",$38.91,$27.76,$36.38,$47.59,"$80,930",,
25-1011,"Business Teachers, Postsecondary", 572 ,,,,,"$96,606",,
51-3021,Butchers & Meat Cutters," 1,411 ",$19.59,$15.53,$20.89,$23.45,"$40,748",,
13-1021,"Buyers & Purchasing Agents, Farm Products", 82 ,$29.00,$22.00,$26.99,$32.73,"$60,307",,
51-7011,Cabinetmakers & Bench Carpenters, 679 ,$19.10,$15.40,$18.04,$22.72,"$39,737",,
27-4031,"Camera Operators, TV, Video & Motion Picture", 216 ,$33.14,$26.79,$32.90,$37.29,"$68,930",,
53-5021,"Captains, Mates & Pilots of Water Vessels"," 1,986 ",$42.03,$36.14,$40.88,$50.67,"$87,432",,
29-2031,Cardiovascular Technologists & Technicians, 439 ,$32.34,$22.02,$30.43,$42.40,"$67,270",,
25-2023,"Career/Technical Education Teachers, Middle School", 114 ,,,,,"$64,586",,
25-2032,"Career/Technical Education Teachers, Secondary School", 796 ,,,,,"$65,042",,
43-5011,Cargo & Freight Agents," 1,353 ",$24.65,$19.81,$24.09,$28.65,"$51,259",,
47-3012,Carpenter Helpers, 450 ,$15.85,$10.52,$14.92,$18.33,"$32,958",,
47-2031,Carpenters," 12,496 ",$29.48,$21.64,$28.28,$37.59,"$61,321",,
47-2041,Carpet Installers, 260 ,$22.21,$18.20,$22.17,$25.73,"$46,187",,
17-1021,Cartographers & Photogrammetrists, 193 ,$39.94,$32.64,$39.93,$47.99,"$83,077",,
41-2011,Cashiers," 26,448 ",$13.72,$10.94,$12.22,$15.29,"$28,540",,
47-2051,Cement Masons & Concrete Finishers," 1,223 ",$28.40,$18.43,$25.98,$38.02,"$59,079",,
35-1011,Chefs & Head Cooks," 1,127 ",$28.01,$21.13,$25.06,$29.98,"$58,250",,
17-2041,Chemical Engineers, 115 ,$42.41,$31.39,$40.50,$53.68,"$88,221",,
51-9011,Chemical Equipment Operators & Tenders, 163 ,$21.10,$14.75,$17.86,$27.57,"$43,882",,
19-4031,Chemical Technicians, 246 ,$21.81,$16.13,$21.04,$25.21,"$45,376",,
25-1052,"Chemistry Teachers, Postsecondary", 238 ,,,,,"$82,925",,
19-2031,Chemists, 707 ,$36.55,$24.82,$32.64,$46.44,"$76,009",,
11-1011,Chief Executives," 3,489 ",$106.58,$70.84,$100.60,,"$221,697",,
21-1021,"Child, Family & School Social Workers"," 2,419 ",$23.69,$19.76,$23.51,$27.65,"$49,265",,
39-9011,Childcare Workers," 3,773 ",$13.25,$11.20,$12.52,$14.55,"$27,548",,
29-1011,Chiropractors, 422 ,$26.97,$24.26,$26.71,$29.17,"$56,080",,
27-2032,Choreographers,,$36.93,$33.06,$39.55,$45.45,"$76,819",,
17-3022,Civil Engineering Technicians, 690 ,$32.55,$27.21,$31.07,$38.28,"$67,685",,
17-2051,Civil Engineers," 5,769 ",$43.45,$34.16,$42.26,$51.55,"$90,388",,
13-1031,"Claims Adjusters, Examiners & Investigators"," 3,389 ",$36.19,$27.13,$36.25,$43.99,"$75,287",,
53-7061,Cleaners of Vehicles & Equipment," 3,069 ",$14.61,$11.81,$13.66,$15.98,"$30,387",,
21-2011,Clergy, 177 ,$34.39,$26.64,$32.98,$38.20,"$71,523",,
19-3031,"Clinical, Counseling & School Psychologists", 849 ,$35.35,$28.27,$33.77,$38.78,"$73,528",,
27-2022,Coaches & Scouts," 5,363 ",,,,,"$48,829",,
51-9121,Coating/Painting/Spraying Machine Setters/Oprs/Tenders, 735 ,$18.47,$14.57,$17.54,$21.81,"$38,420",,
49-9091,"Coin, Vending & Amusement Machine Svcrs & Repairers", 273 ,$21.06,$16.49,$21.45,$24.78,"$43,816",,
35-3021,"Combined Food Prep & Serving Workers, Inc Fast Food"," 35,339 ",$12.28,$10.74,$11.67,$13.04,"$25,545",,
27-1021,Commercial & Industrial Designers, 299 ,$39.01,$28.08,$38.71,$48.88,"$81,133",,
53-2012,Commercial Pilots, 600 ,,,,,"$119,831",,
43-2099,"Communications Equipment Operators, All Other", 12 ,$17.15,$14.01,$15.35,$21.25,"$35,677",,
25-1122,"Communications Teachers, Postsecondary", 211 ,,,,,"$62,146",,
21-1099,"Community & Social Service Specialists, All Other", 741 ,$20.39,$13.10,$19.14,$26.92,"$42,419",,
21-1094,Community Health Workers, 403 ,$19.37,$15.55,$18.09,$21.70,"$40,283",,
11-3111,Compensation & Benefits Managers, 293 ,$66.14,$53.91,$64.12,$78.30,"$137,584",,
13-1141,"Compensation, Benefits & Job Analysis Specialists"," 1,246 ",$38.76,$28.55,$36.38,$47.41,"$80,614",,
13-1041,Compliance Officers (Except Agric/Const/Safety/Trans)," 4,598 ",$46.17,$32.21,$43.13,$59.62,"$96,042",,
11-3021,Computer & Information Systems Managers," 9,855 ",$76.56,$58.49,$71.88,$87.87,"$159,247",,
51-4011,"Computer Controlled Machine Tool Operators, Metal/Plastic"," 1,061 ",$30.74,$20.41,$29.22,$42.04,"$63,944",,
17-2061,Computer Hardware Engineers," 1,336 ",$54.87,$33.63,$55.50,$71.34,"$114,145",,
15-1143,Computer Network Architects," 4,146 ",$53.30,$38.53,$53.07,$65.59,"$110,843",,
15-1152,Computer Network Support Specialists," 2,742 ",$37.51,$28.35,$34.93,$44.10,"$78,014",,
15-1199,"Computer Occupations, All Other"," 5,990 ",$43.96,$28.91,$41.02,$58.01,"$91,431",,
43-9011,Computer Operators, 464 ,$23.50,$19.24,$23.50,$28.42,"$48,859",,
15-1131,Computer Programmers," 9,159 ",$58.42,$48.36,$59.97,$71.23,"$121,517",,
25-1021,"Computer Science Teachers, Postsecondary", 356 ,,,,,"$87,148",,
15-1121,Computer Systems Analysts," 13,587 ",$48.25,$38.98,$46.84,$58.00,"$100,373",,
15-1151,Computer User Support Specialists," 10,396 ",$28.91,$21.54,$26.36,$33.32,"$60,141",,
49-2011,"Computer, Automated Teller & Office Machine Repairers"," 1,290 ",,,,,,,
39-6012,Concierges, 428 ,$17.11,$14.71,$17.09,$19.19,"$35,601",,
19-1031,Conservation Scientists, 86 ,$37.22,$24.90,$34.34,$45.72,"$77,416",,
47-4011,Construction & Building Inspectors," 1,565 ",$37.83,$32.90,$38.22,$44.60,"$78,676",,
47-4099,"Construction & Related Workers, All Other", 187 ,$23.34,$15.92,$24.11,$28.44,"$48,541",,
47-2061,Construction Laborers," 9,551 ",$25.05,$17.69,$23.14,$33.43,"$52,108",,
11-9021,Construction Managers," 4,196 ",$47.99,$38.05,$47.14,$57.17,"$99,828",,
47-1011,Construction Supervisors of Trades & Extraction Workers," 5,289 ",$39.75,$30.55,$39.41,$48.03,"$82,661",,
47-3019,"Construction Trades Helpers, All Other",,$27.26,$26.20,$27.97,$29.67,"$56,704",,
49-9012,Control & Valve Installers & Repairers (Not Mech Door), 213 ,$30.47,$22.75,$31.50,$37.55,"$63,377",,
53-7011,Conveyor Operators & Tenders, 240 ,$15.64,$13.17,$14.62,$17.16,"$32,523",,
35-2019,"Cooks, All Other", 48 ,$21.09,$15.27,$21.52,$24.54,"$43,860",,
35-2011,"Cooks, Fast Food"," 2,221 ",$13.32,$12.17,$13.40,$14.55,"$27,702",,
35-2012,"Cooks, Institution & Cafeteria"," 3,736 ",$16.90,$14.19,$16.58,$18.96,"$35,149",,
35-2014,"Cooks, Restaurant"," 14,184 ",$14.58,$12.46,$14.55,$16.80,"$30,301",,
35-2015,"Cooks, Short Order"," 2,156 ",$13.45,$10.89,$11.82,$14.43,"$27,969",,
51-9193,Cooling & Freezing Equipment Operators & Tenders, 37 ,$26.71,$26.37,$28.24,$30.10,"$55,542",,
33-1011,Correctional Officer Supervisors, 258 ,$35.28,$25.79,$34.11,$42.00,"$73,390",,
33-3012,Correctional Officers & Jailers," 2,024 ",$28.64,$22.80,$28.88,$34.86,"$59,565",,
43-4021,Correspondence Clerks, 37 ,$14.70,$10.87,$12.45,$18.02,"$30,592",,
13-1051,Cost Estimators," 3,319 ",$38.42,$28.85,$37.02,$47.63,"$79,909",,
39-3092,Costume Attendants, 64 ,$20.06,$17.53,$20.18,$23.01,"$41,733",,
21-1019,"Counselors, All Other", 229 ,$24.16,$17.54,$22.44,$29.34,"$50,247",,
41-2021,Counter & Rental Clerks," 5,824 ",$16.32,$12.17,$15.40,$19.15,"$33,950",,
35-3022,"Counter Attendants, Cafeteria/Concession & Coffee Shop"," 6,063 ",$12.78,$10.67,$11.60,$13.12,"$26,573",,
43-5021,Couriers & Messengers, 537 ,$16.26,$14.06,$15.83,$18.38,"$33,808",,
43-4031,"Court, Municipal & License Clerks"," 1,110 ",$25.56,$21.38,$26.05,$29.38,"$53,158",,
27-1012,Craft Artists, 124 ,,,,,,,
53-7021,Crane & Tower Operators, 710 ,$34.55,$24.54,$34.76,$44.26,"$71,854",,
13-2041,Credit Analysts, 588 ,$40.70,$29.76,$39.43,$48.92,"$84,654",,
43-4041,"Credit Authorizers, Checkers & Clerks", 230 ,,,,,,,
13-2071,Credit Counselors, 261 ,$24.66,$21.22,$23.27,$25.45,"$51,307",,
25-1111,"Criminal Justice & Law Enforcement Teachers, Postsecondary",,,,,,"$59,432",,
33-9091,Crossing Guards,,$30.26,$12.49,$29.04,$37.99,"$62,944",,
51-9021,Crush/Grind/Polishing Machine Setters/Operators & Tenders, 144 ,$18.60,$13.89,$18.70,$22.92,"$38,685",,
25-4012,Curators, 117 ,$33.13,$22.85,$29.79,$41.16,"$68,910",,
43-4051,Customer Service Representatives," 33,415 ",$19.67,$15.15,$18.80,$23.23,"$40,895",,
51-4031,"Cut/Punch/Press Mach Setters/Oprs/Tenders, Metal/Plastic", 973 ,$22.94,$16.64,$20.01,$25.85,"$47,731",,
51-9031,"Cutters & Trimmers, Hand",,$16.85,$14.11,$16.41,$18.96,"$35,030",,
51-9032,Cutting & Slicing Machine Setters/Operators & Tenders, 735 ,$20.10,$16.10,$19.07,$24.09,"$41,820",,
43-9021,Data Entry Keyers," 1,491 ",$19.97,$16.13,$19.39,$23.29,"$41,538",,
15-1141,Database Administrators," 1,655 ",$47.62,$36.87,$49.38,$59.13,"$99,056",,
41-9011,Demonstrators & Product Promoters," 1,036 ",$14.07,$12.24,$13.71,$15.15,"$29,260",,
31-9091,Dental Assistants," 4,675 ",$20.83,$17.63,$20.33,$23.85,"$43,336",,
29-2021,Dental Hygienists," 2,736 ",$45.19,$41.52,$46.20,$51.10,"$93,993",,
51-9081,Dental Laboratory Technicians, 394 ,$22.23,$17.59,$21.74,$25.70,"$46,240",,
29-1029,"Dentists, All Other Specialists",,$108.44,$74.26,$100.78,,"$225,555",,
29-1021,"Dentists, General"," 1,180 ",$95.37,$70.27,$88.47,,"$198,366",,
27-1029,"Designers, All Other", 109 ,$38.83,$29.07,$37.71,$47.00,"$80,778",,
43-9031,Desktop Publishers, 182 ,$29.40,$24.65,$31.98,$36.72,"$61,143",,
33-3021,Detectives & Criminal Investigators, 711 ,$46.77,$28.82,$48.61,$61.31,"$97,272",,
29-2032,Diagnostic Medical Sonographers, 546 ,$43.87,$39.24,$44.07,$48.61,"$91,239",,
29-2051,Dietetic Technicians, 150 ,$19.90,$16.27,$19.66,$23.75,"$41,397",,
29-1031,Dietitians & Nutritionists, 589 ,$32.93,$28.10,$33.37,$38.07,"$68,495",,
35-9011,Dining Room & Cafeteria Attendants & Bartender Helpers," 4,064 ",$13.42,$10.71,$11.69,$14.26,"$27,928",,
21-2021,"Directors, Religious Activities & Education", 95 ,$31.30,$20.68,$31.88,$42.84,"$65,103",,
35-9021,Dishwashers," 6,982 ",$12.47,$11.03,$12.11,$13.79,"$25,936",,
43-5032,"Dispatchers (Except Police, Fire & Ambulance)"," 2,205 ",$26.33,$17.99,$25.22,$32.97,"$54,782",,
17-3019,"Drafters, All Other", 300 ,$31.11,$27.19,$32.86,$36.74,"$64,697",,
51-4032,Drilling/Boring Machine Tool Setters/Oprs/Tenders, 52 ,$18.16,$13.66,$16.38,$22.28,"$37,787",,
53-3031,Driver/Sales Workers," 3,386 ",$15.81,$10.89,$11.82,$17.76,"$32,882",,
47-2081,Drywall & Ceiling Tile Installers," 2,378 ",$30.40,$24.50,$28.95,$37.22,"$63,237",,
47-5021,"Earth Drillers, Except Oil & Gas", 56 ,$29.78,$23.98,$30.08,$36.03,"$61,942",,
25-1063,"Economics Teachers, Postsecondary", 91 ,,,,,"$99,451",,
19-3011,Economists, 117 ,$49.27,$40.41,$47.75,$57.14,"$102,479",,
27-3041,Editors," 1,226 ",$30.57,$18.90,$29.02,$37.95,"$63,594",,
11-9031,"Educ Administrators, Preschool/Childcare Center/Program", 498 ,$24.54,$18.96,$24.27,$29.37,"$51,052",,
11-9039,"Education Administrators, All Other", 506 ,$36.82,$23.49,$32.92,$49.03,"$76,583",,
11-9032,"Education Administrators, Elementary & Secondary School"," 1,787 ",,,,,"$116,706",,
11-9033,"Education Administrators, Postsecondary"," 1,131 ",$53.76,$37.21,$45.87,$60.18,"$111,818",,
25-1081,"Education Teachers, Postsecondary", 418 ,,,,,"$100,697",,
25-9099,"Education, Training & Library Workers, All Other"," 1,255 ",$28.26,$21.79,$27.13,$33.55,"$58,784",,
21-1012,"Educational, Guidance, Vocational & School Counselors"," 1,991 ",$28.89,$24.57,$28.91,$34.14,"$60,100",,
49-2092,"Electric Motor, Power Tool & Related Repairers", 127 ,,,,,,,
51-2022,Electrical & Electronic Equipment Assemblers," 3,235 ",$19.31,$14.96,$18.00,$22.21,"$40,166",,
17-3012,Electrical & Electronics Drafters, 753 ,$42.27,$33.69,$43.36,$50.71,"$87,917",,
17-3023,Electrical & Electronics Engineering Technicians," 1,049 ",$33.52,$26.77,$32.23,$39.05,"$69,720",,
17-2071,Electrical Engineers," 3,978 ",$53.68,$41.47,$52.46,$64.41,"$111,653",,
49-9051,Electrical Power Line Installers & Repairers, 448 ,$41.58,$40.49,$44.29,$47.70,"$86,486",,
49-2093,"Electrical/Electronics Installers/Repairers, Transp Equip", 266 ,$29.08,$24.76,$28.33,$33.48,"$60,478",,
49-2094,"Electrical/Electronics Repairers, Comm & Industrial Equip", 806 ,$35.58,$27.83,$35.32,$44.31,"$73,999",,
47-3013,Electrician Helpers, 331 ,$24.89,$19.86,$24.19,$29.73,"$51,761",,
47-2111,Electricians," 7,005 ",$34.50,$25.16,$35.06,$45.12,"$71,756",,
51-2023,Electromechanical Equipment Assemblers, 350 ,$19.55,$16.25,$18.71,$23.03,"$40,676",,
49-2096,"Electronic Equipment Installers & Repairers, Motor Vehicles",,$23.41,$19.61,$24.69,$27.93,"$48,701",,
49-2097,Electronic Home Entertainment Equip Install/Repair,,$23.25,$18.08,$25.39,$28.86,"$48,366",,
17-2072,"Electronics Engineers, Except Computer"," 2,946 ",$57.01,$46.64,$56.58,$65.41,"$118,590",,
25-2021,"Elementary School Teachers, Except Special Education"," 9,815 ",,,,,"$63,037",,
47-4021,Elevator Installers & Repairers, 126 ,$47.72,$32.76,$53.50,$59.41,"$99,242",,
43-4061,"Eligibility Interviewers, Government Programs"," 1,612 ",$23.44,$18.91,$24.23,$26.60,"$48,757",,
11-9161,Emergency Management Directors, 63 ,$49.96,$37.79,$47.48,$59.68,"$103,920",,
29-2041,Emergency Medical Technicians & Paramedics," 1,799 ",$36.04,$31.28,$39.99,$45.31,"$74,966",,
51-2031,Engine & Other Machine Assemblers, 466 ,$20.78,$17.64,$19.87,$22.98,"$43,218",,
25-1032,"Engineering Teachers, Postsecondary", 530 ,,,,,"$117,709",,
17-3029,"Engineering Technicians, Except Drafters, All Other", 508 ,$34.46,$25.05,$33.97,$44.08,"$71,685",,
17-2199,"Engineers, All Other"," 2,273 ",$45.80,$30.69,$43.79,$59.32,"$95,259",,
25-1123,"English Language & Literature Teachers, Postsecondary", 600 ,,,,,"$65,781",,
27-2099,"Entertainers/Performers/Sports & Related Workers, All Other", 99 ,$19.01,$11.77,$13.96,$16.71,,,
39-3099,"Entertainment Attendants & Related Workers, All Other", 208 ,$13.25,$11.59,$13.26,$14.79,"$27,559",,
17-3025,Environmental Engineering Technicians, 207 ,$31.50,$23.95,$31.94,$39.61,"$65,528",,
17-2081,Environmental Engineers, 748 ,$49.20,$39.81,$50.44,$58.45,"$102,347",,
19-4091,Environmental Science & Protection Techs (Inc Health), 179 ,$27.26,$21.77,$24.38,$33.56,"$56,687",,
25-1053,"Environmental Science Teachers, Postsecondary", 79 ,,,,,"$131,197",,
19-2041,Environmental Scientists & Specialists (Inc Health)," 1,801 ",$39.47,$27.73,$37.08,$48.85,"$82,095",,
19-1041,Epidemiologists, 171 ,$47.87,$30.90,$38.91,$52.50,"$99,552",,
51-9194,Etchers & Engravers,,$26.79,$22.98,$26.06,$29.94,"$55,715",,
53-7032,"Excavating, Loading Machine & Dragline Operators", 304 ,$31.77,$28.12,$32.40,$36.23,"$66,082",,
43-6011,Executive Secretaries & Administrative Assistants," 6,095 ",$30.31,$24.68,$29.70,$35.60,"$63,022",,
29-1128,Exercise Physiologists, 60 ,$19.40,$15.46,$17.94,$22.29,"$40,354",,
51-4021,"Extruding/Drawing Mach Setters/Oprs/Tenders, Metal/Plastic", 480 ,$22.34,$16.40,$20.72,$26.91,"$46,475",,
51-9041,Extruding/Form/Press/Compact Mach Setters/Operators/Tenders, 503 ,$16.86,$11.41,$13.68,$19.38,"$35,050",,
51-6091,"Extruding/Forming Machine Set/Oprs/Tenders, Synthetic/Glass", 174 ,$15.47,$13.14,$14.76,$17.58,"$32,171",,
51-6092,Fabric & Apparel Patternmakers, 48 ,$29.56,$23.33,$27.90,$35.10,"$61,484",,
45-4021,Fallers,,$22.45,$15.57,$21.45,$24.97,"$46,696",,
29-1062,Family & General Practitioners, 834 ,$102.77,$72.91,$98.21,,"$213,778",,
49-3041,Farm Equipment Mechanics & Service Technicians,,$19.97,$16.60,$20.39,$23.43,"$41,535",,
45-2092,Farm Workers & Laborers/Crop/Nursery & Greenhouse," 1,087 ",$13.26,$11.14,$12.40,$14.65,"$27,577",,
45-2093,"Farm Workers, Farm/Ranch/Aquacultural Animals", 255 ,$16.40,$13.83,$16.13,$18.94,"$34,110",,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers", 10 ,$44.98,$30.17,$33.74,$43.98,"$93,552",,
45-1011,"Farming, Fishing & Forestry Worker Supervisors", 124 ,$23.57,$11.71,$25.69,$30.94,"$49,040",,
27-1022,Fashion Designers, 249 ,$33.90,$22.94,$31.05,$42.64,"$70,520",,
47-4031,Fence Erectors, 256 ,$24.67,$17.93,$23.75,$32.01,"$51,313",,
51-2091,Fiberglass Laminators & Fabricators, 455 ,$19.50,$14.73,$17.78,$23.83,"$40,574",,
43-4071,File Clerks, 817 ,$18.43,$13.19,$16.62,$22.68,"$38,342",,
27-4032,Film & Video Editors, 192 ,$25.90,$18.97,$24.75,$33.03,"$53,872",,
13-2051,Financial Analysts," 3,718 ",$44.35,$33.12,$42.69,$54.02,"$92,236",,
43-3099,"Financial Clerks, All Other", 198 ,$23.58,$19.64,$23.06,$26.76,"$49,033",,
13-2061,Financial Examiners, 245 ,$48.80,$32.78,$44.42,$63.45,"$101,491",,
11-3031,Financial Managers," 8,069 ",$69.24,$48.23,$62.90,$81.66,"$144,002",,
13-2099,"Financial Specialists, All Other"," 2,590 ",$39.15,$28.29,$37.65,$48.37,"$81,430",,
27-1013,"Fine Artists, Including Painters, Sculptors & Illustrators", 324 ,$30.86,$16.81,$31.42,$42.70,"$64,181",,
33-1021,Fire Fighting & Prevention Worker Supervisors, 895 ,$49.67,$43.85,$49.02,$56.69,"$103,322",,
33-2021,Fire Inspectors & Investigators, 100 ,$44.93,$40.34,$45.48,$50.11,"$93,440",,
33-2011,Firefighters," 2,999 ",$38.62,$34.49,$40.14,$46.39,"$80,334",,
39-9031,Fitness Trainers & Aerobics Instructors," 4,120 ",$25.00,$16.72,$22.66,$32.78,"$52,015",,
53-2031,Flight Attendants," 3,485 ",,,,,"$72,511",,
47-2042,"Floor Layers, Except Carpet, Wood & Hard Tiles",,$18.44,$13.13,$20.19,$22.40,"$38,339",,
47-2043,Floor Sanders & Finishers,,$23.95,$18.73,$23.12,$28.84,"$49,815",,
27-1023,Floral Designers, 499 ,$16.79,$13.42,$16.68,$19.55,"$34,916",,
51-3092,Food Batchmakers," 1,695 ",$14.78,$11.28,$13.09,$15.66,"$30,742",,
51-3093,Food Cooking Machine Operators & Tenders,,$14.89,$11.52,$16.03,$17.63,"$30,956",,
35-9099,"Food Preparation & Serving Related Workers, All Other",,$11.23,$10.32,$10.99,$11.66,"$23,347",,
35-1012,Food Preparation & Serving Worker Supervisors," 8,642 ",$20.98,$16.28,$20.39,$24.63,"$43,654",,
35-2021,Food Preparation Workers," 10,552 ",$14.04,$11.38,$12.97,$16.30,"$29,212",,
